fold,feature,n,spearman_value_vs_shap,q25_value,q75_value,low_quartile_mean_shap,high_quartile_mean_shap,high_minus_low_shap,mean_abs_shap
2020,diff_profile_age,888,-0.9668695087175097,-3.5366187542778906,3.5366187542778906,0.22650291723710997,-0.22664847480015712,-0.45315139203726706,0.16202645195068094
2020,self_profile_reach,888,0.54481453047809,172.72,190.5,0.11659533417610041,0.15450484553002752,0.03790951135392712,0.13119193832473913
2020,opp_profile_reach,888,-0.3556894815836947,172.72,190.5,-0.10786913101703434,-0.13913198572117835,-0.031262854704144014,0.1178894059581531
2020,opp_profile_age,888,0.8548098440637519,27.958247775496236,33.700205338809035,-0.04826765818739528,0.10678304863818024,0.1550507068255755,0.057816184682549746
2020,self_profile_age,888,-0.8412402376956094,27.958247775496236,33.700205338809035,0.04861560259182174,-0.1113837541001661,-0.15999935669198784,0.05645515907866587
2020,diff_profile_weight,888,0.8383508177533298,0.0,0.0,-0.02434126197274651,0.024499518134035184,0.048840780106781695,0.043557422139480245
2020,diff_hist_f3_ground_attempts_per_control_min_std,586,0.8459837598840119,-4.097195117513845,4.097195117513845,-0.05547433029733548,0.07345629288327127,0.12893062318060675,0.055551351101194114
2020,diff_profile_reach,888,0.8654597746770392,-5.0800000000000125,5.0800000000000125,-0.04954065371915197,0.026701359364557267,0.07624201308370923,0.029461524572357407
2020,diff_hist_d730_total_str_landed_per15_mean,588,-0.7869651558456743,-25.562705998702587,25.562705998702587,0.027207157422541355,-0.031015485284381174,-0.058222642706922526,0.02848287664706657
2020,diff_hist_career_td_attempted_per15_mean,622,0.9086009188790678,-1.6846398642877471,1.6846398642877471,-0.01562906716329356,0.01512767573317083,0.03075674289646439,0.011700079817616102
2020,diff_hist_career_td_landed_per15_mean,622,0.8717078472419153,-0.7431471840316195,0.7431471840316195,-0.0482440282119056,0.05164857040374325,0.09989259861564885,0.029026551799366918
2020,diff_hist_career_distance_landed_per15_std,622,0.8028506133892046,-11.88888398091307,11.88888398091307,-0.03208339498199236,0.025139680800911706,0.05722307578290406,0.027086555454606743
2020,diff_hist_d730_elapsed_seconds_mean,588,0.9101971797981615,-417.16666666666663,417.16666666666663,-0.008133241757877222,0.016604257576471687,0.02473749933434891,0.009918271166392836
2020,opp_hist_f3_distance_acc_mean,731,-0.8369244306650477,0.33946880477704244,0.46754641438171385,0.013761771277936756,-0.03590334529474459,-0.04966511657268135,0.021627056950481262
2020,self_hist_f3_distance_acc_mean,731,0.817322966821552,0.33946880477704244,0.46754641438171385,-0.006821643389364491,0.021935055241029445,0.028756698630393936,0.012947990659571147
2020,diff_hist_d730_rounds_observed_mean,588,0.8846434727927392,-0.6666666666666665,0.6666666666666665,-0.046437803208827975,0.056643597135941186,0.10308140034476916,0.03897351306979891
2020,diff_hist_f3_body_landed_per15_mean,622,0.7134159379801032,-4.950587936808088,4.950587936808088,-0.011308568103115063,0.01508747620615535,0.026396044309270415,0.013862057269554228
2020,opp_hist_f3_r1_distance_attempted_std,733,0.7896198144580713,4.320493798938574,18.372685039360892,-0.007241207674783452,0.019609172791166675,0.026850380465950126,0.012544468248604147
2020,diff_hist_d730_r1_distance_attempted_mean,588,0.8395072779806424,-17.7625,17.7625,-0.02083265647722953,0.02986286365154649,0.050695520128776025,0.02249751220211556
2020,diff_hist_f1_r2_minus_r1_ctrl_sec_mean,358,-0.9141845232159681,-41.0,41.0,0.06356809677167254,-0.05001572042621754,-0.11358381719789007,0.04275202703617992
2020,opp_hist_career_ground_attempted_per15_mean,733,-0.7563893351340127,3.123076923076923,15.468925233644859,0.0025104913848221972,-0.006897626337721138,-0.009408117722543335,0.004290995681631387
2020,self_hist_f3_r1_distance_attempted_std,733,-0.8183903466692837,4.320493798938574,18.372685039360892,0.00823728625824594,-0.020546494507352294,-0.028783780765598233,0.012553689400273176
2020,diff_profile_stance_southpaw,888,0.8192612463235451,0.0,0.0,-0.006853268278822929,0.008063541263371318,0.014916809542194247,0.014289641262154406
2020,self_hist_f3_r2_minus_r1_ctrl_sec_mean,682,-0.5351115033561104,-24.333333333333332,22.0,0.007196157457403882,-0.036307912152925774,-0.043504069610329654,0.015285559887745175
2020,opp_hist_career_r2_minus_r1_sig_str_landed_mean,692,-0.17818963680842187,-3.0384615384615383,3.861607142857143,0.015167055298934954,-0.002605463347513487,-0.01777251864644844,0.00752083137554451
2020,diff_hist_f3_distance_acc_std,618,-0.3088248688797913,-0.06327181757700646,0.06327181757700646,0.02541591129584929,-0.02700876713629001,-0.0524246784321393,0.013609641227193221
2020,self_hist_f3_r2_minus_r1_sig_str_attempted_std,682,-0.7371871943618583,0.0,14.007934259633798,0.002423277340670446,-0.013988496095912444,-0.01641177343658289,0.005744301536328896
2020,opp_hist_f3_r2_minus_r1_ctrl_sec_mean,682,0.442583993298895,-24.333333333333332,22.0,-0.00621824056943717,0.027755934053316847,0.03397417462275402,0.012761709195710383
2020,opp_hist_d730_r3_minus_r1_clinch_attempted_mean,580,-0.6529563127242396,-2.0,1.5,0.023780123117605065,-0.015107336639749263,-0.03888745975735433,0.017290750777766366
2020,opp_hist_f3_sig_str_attempted_per15_std,733,0.6909349979822346,9.070521916861411,44.468282687262366,-0.007607232814062509,0.017293856602483847,0.024901089416546354,0.00794699595350174
2021,diff_profile_age,994,-0.9713894443980337,-3.5482546201232026,3.5482546201232026,0.234584741324306,-0.22730074924637514,-0.4618854905706812,0.17042713170911897
2021,self_profile_reach,994,0.5677268642508013,172.72,190.5,0.10180896989537352,0.1436194150485623,0.04181044515318877,0.11734832624456952
2021,opp_profile_reach,994,-0.6102720258654754,172.72,190.5,-0.09118360479485518,-0.1290092784124361,-0.03782567361758091,0.10657435685927442
2021,opp_profile_age,994,0.8232201735904118,28.2621492128679,33.73032169746749,-0.0430837493748909,0.10380258644560733,0.14688633582049823,0.05309689358020599
2021,self_profile_age,994,-0.843147793354119,28.2621492128679,33.73032169746749,0.04560259643598014,-0.10947942715063391,-0.15508202358661405,0.055216172458491544
2021,diff_profile_weight,994,0.8016523757987034,0.0,0.0,-0.018762288752617092,0.019531041081829886,0.03829332983444698,0.03555836063244364
2021,diff_hist_f3_ground_attempts_per_control_min_std,734,0.8627233263632177,-3.341586033242007,3.341586033242007,-0.02905352799596427,0.03191270468675572,0.06096623268271999,0.025783805551436573
