feature,folds,mean_abs_shap,mean_spearman_value_vs_shap,mean_high_minus_low_shap,positive_direction_folds,negative_direction_folds,direction_consistent
diff_profile_age,4,0.1696969352334854,-0.9761401185725729,-0.4589000512271331,0,4,True
self_profile_reach,4,0.11142824289207814,0.5666430879829522,0.04597835783694933,4,0,True
opp_profile_reach,4,0.10506396064662238,-0.5326648239747027,-0.045474039968874336,0,4,True
opp_profile_age,4,0.057178988086788556,0.8461244527340513,0.15799790870493297,4,0,True
self_profile_age,4,0.05691127493427732,-0.8637999869952326,-0.1621948009568941,0,4,True
diff_profile_weight,4,0.03724569491476307,0.7846845256927155,0.03924872575094288,4,0,True
diff_hist_f3_ground_attempts_per_control_min_std,4,0.03560065337519938,0.8497371863557327,0.08243684100984641,4,0,True
diff_profile_reach,4,0.03048941630568111,0.8790134127161512,0.08524197815770618,4,0,True
diff_hist_d730_total_str_landed_per15_mean,4,0.026367711029558122,-0.7656407648698247,-0.05347043419128773,0,4,True
diff_hist_f1_r2_minus_r1_ctrl_sec_mean,4,0.025691920069267862,-0.908497482559157,-0.06662388137291902,0,4,True
diff_hist_career_td_landed_per15_mean,4,0.023957305820934208,0.9090971519031709,0.08093182888302833,4,0,True
diff_hist_career_distance_landed_per15_std,4,0.023478265736118158,0.8085283761798475,0.05017779653430812,4,0,True
diff_hist_career_td_attempted_per15_mean,4,0.022253450301541106,0.91073011338819,0.055607855692732425,4,0,True
diff_hist_d730_rounds_observed_mean,4,0.02136995212676747,0.8964947666271983,0.05617748572200433,4,0,True
opp_hist_f3_distance_acc_mean,4,0.020159480071800608,-0.8214892003327786,-0.04192412417315233,0,4,True
self_hist_f3_distance_acc_mean,4,0.016587608741270937,0.812839248579927,0.03388837206055463,4,0,True
diff_hist_d730_r1_distance_attempted_mean,4,0.015992950590670504,0.8466958046351838,0.036799626827822715,4,0,True
diff_hist_d730_elapsed_seconds_mean,4,0.015763849976370252,0.8896306771839128,0.039939601600554944,4,0,True
self_hist_f3_r1_distance_attempted_std,4,0.013232438958500332,-0.7923489124608321,-0.029132765012530377,0,4,True
diff_hist_f3_body_landed_per15_mean,4,0.012828939809465676,0.7353517027485985,0.02515589415497313,4,0,True
self_hist_f3_r2_minus_r1_ctrl_sec_mean,4,0.012414942319884657,-0.6791847658165799,-0.03534139604334308,0,4,True
opp_hist_d730_r3_minus_r1_clinch_attempted_mean,4,0.011980708586806579,-0.6412661143127104,-0.024959142147019782,0,4,True
opp_hist_career_r2_minus_r1_sig_str_landed_mean,4,0.011930829300159937,-0.3156498902584429,-0.028917473232453167,0,4,True
opp_hist_f3_r1_distance_attempted_std,4,0.011006530821305661,0.7623837377948207,0.022679672925419964,4,0,True
diff_hist_f3_distance_acc_std,4,0.010832706516068736,-0.4151783315962688,-0.0403368397201569,0,4,True
self_hist_f3_r2_minus_r1_sig_str_attempted_std,4,0.010254363150018325,-0.7654705232672193,-0.03172386965155438,0,4,True
opp_hist_career_ground_attempted_per15_mean,4,0.009958749496511675,-0.7232454165920986,-0.020759752764988728,0,4,True
opp_hist_f3_r2_minus_r1_ctrl_sec_mean,4,0.009945346146896761,0.37902529378339955,0.025278847550864264,4,0,True
diff_profile_stance_southpaw,4,0.009865096076710305,0.8103173802074579,0.009753986724529314,4,0,True
opp_hist_f3_sig_str_attempted_per15_std,4,0.008360128720509345,0.6111612896907074,0.025015650695758566,4,0,True
