fold,feature,bin,n,value_min,value_median,value_max,mean_signed_shap,mean_abs_shap,empirical_win_rate
2020,diff_profile_age,1,89,-15.64681724845996,-8.632443531827516,-6.836413415468854,0.25366168276647505,0.25366168276647505,0.550561797752809
2020,diff_profile_age,2,89,-6.762491444216291,-5.566050650239561,-4.484599589322382,0.21073972760291582,0.21073972760291582,0.6741573033707865
2020,diff_profile_age,3,89,-4.4818617385352475,-3.5318275154004084,-2.830937713894592,0.20466834206259651,0.20466834206259651,0.6067415730337079
2020,diff_profile_age,4,88,-2.798083504449007,-2.128678986995208,-1.2867898699520879,0.11705419364046644,0.11705419364046644,0.5454545454545454
2020,diff_profile_age,5,89,-1.2758384668035596,-0.6269678302532498,-0.005475701574262359,0.02530449825820377,0.02546588973184064,0.5168539325842697
2020,diff_profile_age,6,89,0.005475701574262359,0.6269678302532498,1.2758384668035596,-0.02838232082032253,0.02888726648675759,0.48314606741573035
2020,diff_profile_age,7,88,1.2867898699520879,2.128678986995208,2.798083504449007,-0.11263411200012673,0.11263411200012673,0.45454545454545453
2020,diff_profile_age,8,89,2.830937713894592,3.5318275154004084,4.4818617385352475,-0.1969124252876539,0.1969124252876539,0.39325842696629215
2020,diff_profile_age,9,89,4.484599589322382,5.566050650239561,6.762491444216291,-0.20830850068772777,0.20830850068772777,0.3258426966292135
2020,diff_profile_age,10,89,6.836413415468854,8.632443531827516,15.64681724845996,-0.2608721028552966,0.2608721028552966,0.449438202247191
2020,self_profile_reach,1,93,147.32,162.56,165.1,0.10693209067547835,0.11249987170180326,0.43010752688172044
2020,self_profile_reach,2,143,167.64,170.18,172.72,0.12287982120797351,0.12287982120797351,0.5174825174825175
2020,self_profile_reach,3,55,175.26,175.26,175.26,0.12329081676223061,0.12329081676223061,0.45454545454545453
2020,self_profile_reach,4,68,177.8,177.8,177.8,0.12403134749654461,0.12403134749654461,0.5147058823529411
2020,self_profile_reach,5,139,180.34,182.88,182.88,0.12479587172647175,0.12479587172647175,0.539568345323741
2020,self_profile_reach,6,74,185.42,185.42,185.42,0.12369589276007704,0.12369589276007704,0.36486486486486486
2020,self_profile_reach,7,60,187.96,187.96,187.96,0.11992749149600665,0.11992749149600665,0.5166666666666667
2020,self_profile_reach,8,118,190.5,190.5,193.04,0.1369222366582539,0.1369222366582539,0.5169491525423728
2020,self_profile_reach,9,75,195.58,195.58,198.12,0.16579620917638144,0.16579620917638144,0.5066666666666667
2020,self_profile_reach,10,63,200.66,203.2,213.36,0.17399525145689645,0.17399525145689645,0.6031746031746031
2020,opp_profile_reach,1,93,147.32,162.56,165.1,-0.09851527758823928,0.10844029502202106,0.5698924731182796
2020,opp_profile_reach,2,143,167.64,170.18,172.72,-0.11395240632387307,0.11395240632387307,0.4825174825174825
2020,opp_profile_reach,3,55,175.26,175.26,175.26,-0.10832953290505842,0.10832953290505842,0.5454545454545454
2020,opp_profile_reach,4,68,177.8,177.8,177.8,-0.1090551052680787,0.1090551052680787,0.4852941176470588
2020,opp_profile_reach,5,139,180.34,182.88,182.88,-0.10956842607731442,0.10956842607731442,0.460431654676259
2020,opp_profile_reach,6,74,185.42,185.42,185.42,-0.10547516877586777,0.10547516877586777,0.6351351351351351
2020,opp_profile_reach,7,60,187.96,187.96,187.96,-0.10464695704480012,0.10464695704480012,0.48333333333333334
2020,opp_profile_reach,8,118,190.5,190.5,193.04,-0.12210147707896718,0.12210147707896718,0.4830508474576271
2020,opp_profile_reach,9,75,195.58,195.58,198.12,-0.14990843216578165,0.14990843216578165,0.49333333333333335
2020,opp_profile_reach,10,63,200.66,203.2,213.36,-0.15820129582333187,0.15820129582333187,0.3968253968253968
2020,opp_profile_age,1,89,20.73100616016427,24.88158795345654,25.809719370294317,-0.0459118787450402,0.046536412069134496,0.4606741573033708
2020,opp_profile_age,2,89,25.82067077344285,26.72416153319644,27.45516769336071,-0.05048414227667819,0.05048414227667819,0.3707865168539326
2020,opp_profile_age,3,89,27.463381245722108,27.958932238193018,28.511978097193705,-0.04894912820518686,0.04894912820518686,0.4606741573033708
2020,opp_profile_age,4,89,28.514715947980836,29.0403832991102,29.596167008898014,-0.048488181670395175,0.048488181670395175,0.4606741573033708
2020,opp_profile_age,5,89,29.598904859685145,30.327173169062284,30.863791923340177,-0.04645891797341657,0.04645891797341657,0.550561797752809
2020,opp_profile_age,6,88,30.86652977412731,31.508555783709788,31.964407939767284,-0.036584878329780295,0.036584878329780295,0.48863636363636365
2020,opp_profile_age,7,88,31.978097193702943,32.351813826146476,32.98562628336756,-0.010216625181783456,0.021062583972789897,0.4772727272727273
2020,opp_profile_age,8,89,33.0321697467488,33.700205338809035,34.39835728952772,0.03871115209702193,0.03871115209702193,0.5955056179775281
2020,opp_profile_age,9,89,34.48049281314169,35.34839151266256,36.43805612594114,0.0731500947659605,0.0731500947659605,0.6292134831460674
2020,opp_profile_age,10,89,36.4435318275154,37.99041752224504,45.549623545516766,0.16708483965544219,0.16708483965544219,0.5056179775280899
2020,self_profile_age,1,89,20.73100616016427,24.88158795345654,25.809719370294317,0.04804941103532073,0.04804941103532073,0.5393258426966292
2020,self_profile_age,2,89,25.82067077344285,26.72416153319644,27.45516769336071,0.04898614013630353,0.04898614013630353,0.6292134831460674
2020,self_profile_age,3,89,27.463381245722108,27.958932238193018,28.511978097193705,0.04917074777604489,0.04917074777604489,0.5393258426966292
2020,self_profile_age,4,89,28.514715947980836,29.0403832991102,29.596167008898014,0.0504718299829558,0.0504718299829558,0.5393258426966292
2020,self_profile_age,5,89,29.598904859685145,30.327173169062284,30.863791923340177,0.04991862194591694,0.04991862194591694,0.449438202247191
2020,self_profile_age,6,88,30.86652977412731,31.508555783709788,31.964407939767284,0.024374376198135327,0.024935108501184997,0.5113636363636364
2020,self_profile_age,7,88,31.978097193702943,32.351813826146476,32.98562628336756,0.0012205411539153747,0.006953697731329488,0.5227272727272727
2020,self_profile_age,8,89,33.0321697467488,33.700205338809035,34.39835728952772,-0.026914458919062773,0.02697472171655207,0.4044943820224719
2020,self_profile_age,9,89,34.48049281314169,35.34839151266256,36.43805612594114,-0.07426379484993019,0.07426379484993019,0.3707865168539326
2020,self_profile_age,10,89,36.4435318275154,37.99041752224504,45.549623545516766,-0.1839171630445491,0.1839171630445491,0.4943820224719101
2020,diff_profile_weight,1,98,-27.210000000000008,-6.799999999999997,-4.540000000000006,-0.12892729142794804,0.12892729142794804,0.46938775510204084
2020,diff_profile_weight,2,636,-4.539999999999999,0.0,0.0,-0.008225804603863258,0.01245488008423291,0.4889937106918239
2020,diff_profile_weight,3,87,0.45000000000000284,4.539999999999999,4.540000000000006,0.10482090177421255,0.10482090177421255,0.5977011494252874
2020,diff_profile_weight,4,67,5.439999999999998,6.799999999999997,27.210000000000008,0.13437901659687954,0.13437901659687954,0.5223880597014925
2020,diff_hist_f3_ground_attempts_per_control_min_std,1,59,-191.29171306613028,-40.69049765955492,-20.868769192355995,-0.05547849385667655,0.05547849385667655,0.6440677966101694
2020,diff_hist_f3_ground_attempts_per_control_min_std,2,59,-20.526315789473685,-12.0,-6.268936620777089,-0.05559733939372887,0.05559733939372887,0.4915254237288136
2020,diff_hist_f3_ground_attempts_per_control_min_std,3,58,-6.2512683070949215,-4.057555567104939,-2.4152542372881354,-0.05516913925008527,0.05516913925008527,0.5
2020,diff_hist_f3_ground_attempts_per_control_min_std,4,59,-2.405549140355829,-1.5040614774743903,-0.7844682654467443,-0.05631238026386601,0.05631238026386601,0.4915254237288136
2020,diff_hist_f3_ground_attempts_per_control_min_std,5,76,-0.7583133505851656,-0.04326067207876194,0.0,-0.008725373515565144,0.012058474803588501,0.5
2020,diff_hist_f3_ground_attempts_per_control_min_std,6,41,0.031047729110086242,0.2970196851273288,0.7844682654467443,0.029630527168614564,0.029831421083100593,0.5121951219512195
2020,diff_hist_f3_ground_attempts_per_control_min_std,7,58,0.821917808219178,1.5091127942929417,2.405549140355829,0.07668229565024376,0.07668229565024376,0.5
2020,diff_hist_f3_ground_attempts_per_control_min_std,8,59,2.4152542372881354,4.13683466792275,6.268936620777089,0.07323443681254226,0.07323443681254226,0.4915254237288136
2020,diff_hist_f3_ground_attempts_per_control_min_std,9,58,6.748880062329815,12.277738104006762,20.526315789473685,0.07355336941264827,0.07355336941264827,0.5172413793103449
2020,diff_hist_f3_ground_attempts_per_control_min_std,10,59,20.868769192355995,40.69049765955492,191.29171306613028,0.07293804027771546,0.07293804027771546,0.3559322033898305
2020,diff_profile_reach,1,122,-25.400000000000006,-12.699999999999989,-10.159999999999997,-0.06786874058793803,0.06786874058793803,0.4262295081967213
2020,diff_profile_reach,2,57,-7.6200000000000045,-7.6200000000000045,-7.6200000000000045,-0.03499102134976471,0.03499102134976471,0.43859649122807015
2020,diff_profile_reach,3,102,-7.619999999999976,-5.0800000000000125,-5.079999999999984,-0.023092950548173164,0.023092950548173164,0.47058823529411764
2020,diff_profile_reach,4,107,-2.5400000000000205,-2.539999999999992,-2.539999999999992,-0.014472162085541777,0.014472162085541777,0.4485981308411215
2020,diff_profile_reach,5,112,0.0,0.0,0.0,-0.015100817728255476,0.015100817728255476,0.5
2020,diff_profile_reach,6,84,2.539999999999992,2.539999999999992,2.539999999999992,-0.015981067537463138,0.015981067537463138,0.5357142857142857
2020,diff_profile_reach,7,66,2.5400000000000205,5.079999999999984,5.079999999999984,-0.012628139829206648,0.012628139829206648,0.48484848484848486
2020,diff_profile_reach,8,116,5.0800000000000125,7.619999999999976,7.6200000000000045,-0.007224841901163394,0.007958562722267052,0.5862068965517241
2020,diff_profile_reach,9,39,10.159999999999997,10.159999999999997,10.159999999999997,0.04389487077983526,0.04389487077983526,0.41025641025641024
2020,diff_profile_reach,10,83,10.160000000000025,15.23999999999998,25.400000000000006,0.06603741239621697,0.06603741239621697,0.6506024096385542
2020,diff_hist_d730_total_str_landed_per15_mean,1,59,-574.0952380952381,-100.39890512363382,-68.81974746736213,0.027649386959560845,0.027649386959560845,0.5254237288135594
2020,diff_hist_d730_total_str_landed_per15_mean,2,59,-67.33749999999999,-44.759322033898286,-33.982154018563044,0.026645836262505943,0.026645836262505943,0.4915254237288136
2020,diff_hist_d730_total_str_landed_per15_mean,3,59,-33.925923609432964,-25.4545757402056,-19.586934156529225,0.030191454452352,0.030191454452352,0.423728813559322
2020,diff_hist_d730_total_str_landed_per15_mean,4,58,-19.569763128782455,-13.989191609580132,-9.003247924936844,0.029276736755052518,0.029276736755052518,0.5
2020,diff_hist_d730_total_str_landed_per15_mean,5,59,-9.0,-4.699270072992697,-0.32272727272727053,0.018088169343635378,0.018088169343635378,0.576271186440678
2020,diff_hist_d730_total_str_landed_per15_mean,6,59,0.32272727272727053,4.699270072992697,9.0,-0.02490770310889614,0.02695689651073288,0.423728813559322
2020,diff_hist_d730_total_str_landed_per15_mean,7,58,9.003247924936844,13.989191609580132,19.569763128782455,-0.0329634462129967,0.0329634462129967,0.5
2020,diff_hist_d730_total_str_landed_per15_mean,8,59,19.586934156529225,25.4545757402056,33.925923609432964,-0.03154413919832747,0.03154413919832747,0.576271186440678
2020,diff_hist_d730_total_str_landed_per15_mean,9,59,33.982154018563044,44.759322033898286,67.33749999999999,-0.030356131525615514,0.030356131525615514,0.5084745762711864
2020,diff_hist_d730_total_str_landed_per15_mean,10,59,68.81974746736213,100.39890512363382,574.0952380952381,-0.0312459663630037,0.0312459663630037,0.4745762711864407
2020,diff_hist_career_td_attempted_per15_mean,1,63,-23.5,-5.609704233098941,-3.9342424355446686,-0.01854531095910167,0.01854531095910167,0.42857142857142855
2020,diff_hist_career_td_attempted_per15_mean,2,63,-3.880574113492102,-2.8842093461771277,-2.25,-0.01297762624860283,0.01297762624860283,0.38095238095238093
