feature,folds,mean_gain,mean_abs_shap,median_shap_rank,top100_folds
diff_hist_f1_leg_attempted_per15_mean,4,5.3028644323349,0.009012342139612883,102.5,2
diff_hist_f3_elapsed_seconds_mean,4,5.566299378871918,0.00805561660672538,162.0,2
self_hist_d730_r3_minus_r1_clinch_attempted_mean,4,5.5115678906440735,0.0077107123215682805,86.0,2
opp_hist_d730_head_landed_per15_mean,4,7.676816463470459,0.007663282915018499,68.5,2
self_hist_f3_r1_sig_str_landed_mean,4,5.852379322052002,0.007074108929373324,80.0,2
opp_hist_f3_clinch_attempt_share_mean,4,5.239884734153748,0.006830685182649177,128.5,2
self_hist_career_td_attempted_per15_mean,4,5.20686137676239,0.006762367353076115,124.0,2
diff_hist_career_r1_sig_str_landed_mean,4,5.804800748825073,0.006586442003026605,80.5,2
diff_hist_career_sub_att_per15_std,4,4.998249530792236,0.0064220650237984955,207.0,2
self_hist_f3_head_acc_mean,4,6.09570586681366,0.0064174301805906,92.5,2
diff_hist_d730_sub_att_per15_std,4,6.1008806228637695,0.006405584630556405,130.5,2
opp_hist_career_kd_per100_sig_landed_mean,4,5.513451933860779,0.006256375869270414,103.5,2
self_hist_career_r2_minus_r1_distance_attempted_std,4,5.037545025348663,0.005949016602244228,102.5,2
self_hist_career_r1_distance_attempted_std,4,4.678546249866486,0.005935689288889989,109.0,2
self_hist_d730_clinch_attempt_share_mean,4,5.215305685997009,0.005892798420973122,106.5,2
self_hist_career_td_landed_per15_mean,4,6.530645489692688,0.005824219668284059,97.5,2
self_hist_d730_r3_sig_str_landed_std,4,4.811942517757416,0.005649613216519356,107.0,2
diff_hist_d730_r1_sig_str_attempted_mean,4,4.899957299232483,0.005565020954236388,104.0,2
opp_hist_f1_sub_attempts_per_control_min_mean,4,8.878821969032288,0.005495576770044863,98.0,2
diff_hist_d730_r1_ctrl_sec_std,4,6.199167966842651,0.005389107507653534,102.5,2
opp_hist_f3_td_acc_std,4,5.377509355545044,0.005388665827922523,109.5,2
diff_hist_f3_r3_minus_r1_clinch_attempted_mean,4,5.0795676708221436,0.0053667183965444565,100.0,2
opp_hist_f3_leg_landed_per15_mean,4,4.857238531112671,0.00529740093043074,112.0,2
self_hist_f3_clinch_attempt_share_std,4,4.840674519538879,0.005289353604894131,130.5,2
self_hist_f3_clinch_attempt_share_mean,4,3.6968343257904053,0.00520776049233973,87.5,2
self_hist_career_kd_per15_mean,4,4.9782395362854,0.005094758700579405,115.0,2
diff_hist_career_r2_clinch_attempted_mean,4,4.799485921859741,0.005094419117085636,106.0,2
opp_hist_career_td_acc_std,4,4.033317029476166,0.0049487251963000745,162.0,2
diff_hist_f3_r2_minus_r1_distance_attempted_std,4,4.626445055007935,0.004871325945714489,177.5,2
diff_hist_career_r1_td_attempted_mean,4,5.477364540100098,0.004807024277397431,103.0,2
self_hist_career_td_acc_std,4,5.0977373123168945,0.0048032295890152454,124.5,2
diff_hist_f3_clinch_attempt_share_std,4,5.211389780044556,0.004717456482467242,152.5,2
self_hist_career_r3_ground_attempted_std,4,5.852679371833801,0.00459529715590179,154.0,2
self_hist_f3_ground_attempts_per_control_min_mean,4,7.354963302612305,0.00457863206975162,99.5,2
self_hist_f1_leg_attempt_share_mean,4,4.830140590667725,0.004549368197331205,316.0,2
diff_hist_f3_r1_sig_str_landed_mean,4,5.82061505317688,0.0043686009012162685,172.5,2
self_hist_career_head_landed_per15_mean,4,6.591561913490295,0.004259389213984832,157.0,2
self_hist_f1_distance_acc_mean,4,4.87793505191803,0.004188970022369176,150.0,2
diff_history_fights,4,7.805891275405884,0.00417392494273372,112.0,2
opp_hist_d730_r3_ctrl_sec_std,4,8.734915852546692,0.004161265445873141,250.5,2
opp_hist_f3_r1_sig_str_landed_mean,4,6.041141867637634,0.00413216243032366,122.0,2
diff_hist_d730_r1_sig_str_landed_mean,4,6.17310643196106,0.004094536910997704,125.5,2
diff_hist_f1_clinch_acc_mean,4,4.557173848152161,0.003961029200581834,132.0,2
opp_hist_d730_sub_attempts_per_control_min_std,4,5.5935375690460205,0.00393121186789358,133.5,2
diff_hist_f3_r2_minus_r1_ctrl_sec_mean,4,3.755019426345825,0.0036209526588208973,191.5,2
self_hist_career_r1_td_attempted_std,4,6.800936222076416,0.003554010152583942,145.0,2
opp_hist_career_r3_minus_r1_td_attempted_mean,4,3.3647892475128174,0.0034851595701184124,358.0,2
self_hist_career_distance_acc_mean,4,3.0475752353668213,0.003409307260881178,436.0,2
self_hist_career_kd_per100_sig_landed_mean,4,4.726379811763763,0.006131442205514759,124.5,1
diff_hist_d730_ground_attempts_per_control_min_std,4,5.333719849586487,0.005446320225019008,121.5,1
diff_hist_career_r2_minus_r1_sig_str_attempted_std,4,4.4279966950416565,0.005255297524854541,147.5,1
diff_hist_career_head_acc_mean,4,5.47693145275116,0.004921100480714813,122.5,1
self_hist_d730_sub_attempts_per_control_min_std,4,4.688804507255554,0.004852443002164364,145.0,1
self_hist_f1_head_acc_mean,4,5.869574189186096,0.0047099514631554484,108.5,1
self_hist_f1_sub_attempts_per_control_min_mean,4,7.359945297241211,0.004665340238716453,167.5,1
opp_hist_career_head_landed_per15_mean,4,7.8024609088897705,0.004644421918783337,311.0,1
opp_hist_career_td_attempted_per15_mean,4,4.75006902217865,0.004477570008020848,137.5,1
opp_hist_f3_sig_acc_mean,4,5.4469016790390015,0.004412308684550226,153.0,1
opp_hist_career_r3_minus_r1_clinch_attempted_std,4,3.9361847043037415,0.004393358831293881,196.5,1
opp_hist_career_r2_minus_r1_sig_str_landed_std,4,5.793218731880188,0.004353933036327362,229.0,1
opp_hist_career_r2_minus_r1_distance_attempted_std,4,4.79884672164917,0.004283037975255866,257.5,1
self_hist_career_td_acc_mean,4,4.679966568946838,0.004226920660585165,167.5,1
self_hist_f1_sig_acc_mean,4,5.237147569656372,0.004213849431835115,152.0,1
diff_hist_career_r1_distance_attempted_std,4,4.210935533046722,0.004161815741099417,137.0,1
self_hist_d730_ground_attempts_per_control_min_std,4,6.042905211448669,0.004142144869547337,169.0,1
self_hist_f3_distance_acc_std,4,4.628965139389038,0.004071264062076807,117.0,1
opp_hist_f3_head_acc_mean,4,5.715253949165344,0.004015718666778412,239.0,1
self_hist_career_leg_attempt_share_mean,4,6.579679250717163,0.003992759942775592,168.5,1
diff_hist_career_sub_attempts_per_control_min_mean,4,4.2113940715789795,0.003948548845073674,152.0,1
opp_hist_career_td_acc_mean,4,4.126276910305023,0.00394014228368178,166.5,1
opp_hist_f1_distance_landed_per15_mean,4,3.9483776688575745,0.0038470671279355884,155.5,1
opp_hist_career_total_str_attempted_per15_std,4,4.706442356109619,0.0038368712121155113,218.0,1
diff_hist_career_r2_minus_r1_clinch_attempted_std,4,4.6646541357040405,0.003791832277784124,207.0,1
opp_hist_d730_clinch_attempt_share_mean,4,4.659275650978088,0.00370573767577298,255.0,1
diff_hist_f1_ground_acc_mean,4,5.109188437461853,0.003697887310408987,134.5,1
opp_hist_career_leg_attempt_share_mean,4,4.834136247634888,0.003685662930365652,206.5,1
self_hist_f1_distance_landed_per15_mean,4,4.612747550010681,0.0036540516157401726,118.0,1
self_hist_d730_leg_attempt_share_mean,4,4.923209011554718,0.00359018991002813,191.5,1
opp_hist_career_distance_acc_mean,4,3.9011197090148926,0.0035800175392068923,168.5,1
diff_hist_f1_distance_landed_per15_mean,4,5.450464844703674,0.0035780970647465438,291.5,1
opp_hist_d730_sub_att_per15_mean,4,4.982417345046997,0.003521900827763602,216.5,1
opp_hist_f1_leg_attempt_share_mean,4,4.7838428020477295,0.003446704417001456,153.5,1
self_hist_career_ground_landed_per15_mean,4,3.6208975315093994,0.0034361011239525396,653.5,1
opp_hist_f3_r2_sig_str_attempted_mean,4,5.001473069190979,0.003426048206165433,236.5,1
self_hist_career_r3_minus_r1_td_attempted_mean,4,3.6778000593185425,0.003416418854612857,142.0,1
self_hist_d730_td_acc_std,4,5.723477482795715,0.003401983733056113,166.5,1
opp_hist_career_ground_landed_per15_mean,4,5.194298207759857,0.003398734628717648,210.0,1
opp_hist_f1_head_acc_mean,4,5.534530162811279,0.0033931459474842995,216.5,1
self_hist_career_r3_minus_r1_sig_str_landed_mean,4,6.474283933639526,0.0032946244173217565,301.0,1
opp_hist_career_kd_per15_mean,4,4.56407105922699,0.0032804642578412313,151.5,1
self_hist_f3_leg_landed_per15_mean,4,3.4972076416015625,0.003278215415775776,175.0,1
opp_hist_career_r1_td_attempted_std,4,5.3458874225616455,0.0032225973554886878,192.5,1
self_hist_f3_r3_minus_r1_clinch_attempted_mean,4,3.3825279474258423,0.003222386003471911,267.5,1
self_hist_f3_r2_minus_r1_sig_str_landed_mean,4,3.2523250579833984,0.0032113454271893715,343.0,1
diff_hist_f3_r3_sig_str_landed_std,4,3.9471185207366943,0.003187437105225399,280.0,1
self_hist_f3_sig_acc_mean,4,4.697023630142212,0.0031782024016138166,290.5,1
opp_hist_career_r2_td_attempted_std,4,5.455561518669128,0.003169590032484848,175.0,1
diff_hist_career_r2_minus_r1_sig_str_landed_std,4,3.9212868213653564,0.003130011093162466,525.0,1
opp_hist_f3_r2_sig_str_landed_mean,4,5.487714409828186,0.0031294832879211754,291.0,1
opp_hist_d730_td_acc_std,4,4.625719428062439,0.0031106799142435193,215.0,1
opp_hist_d730_distance_landed_per15_mean,4,5.694977641105652,0.003094844549195841,228.0,1
diff_hist_f3_clinch_acc_mean,4,4.488413751125336,0.0030745262920390815,332.5,1
self_hist_career_r1_sig_str_landed_mean,4,5.850316047668457,0.0030708235572092235,219.5,1
self_hist_career_r3_minus_r1_clinch_attempted_std,4,3.043260872364044,0.0030480414861813188,477.0,1
diff_hist_career_td_acc_std,4,5.575509786605835,0.0030373857443919405,395.0,1
opp_hist_f3_ground_attempts_per_control_min_mean,4,4.616168022155762,0.003035075598745607,436.0,1
self_hist_career_total_str_attempted_per15_std,4,3.7994088530540466,0.002964161685667932,348.0,1
diff_hist_f3_total_str_landed_per15_mean,4,3.2976351380348206,0.0028703014831990004,179.5,1
opp_hist_f3_r3_minus_r1_distance_attempted_std,4,2.786612331867218,0.002853146579582244,223.5,1
self_hist_d730_r1_sig_str_landed_mean,4,5.641161918640137,0.0028512627177406102,484.5,1
opp_hist_f3_r2_minus_r1_distance_attempted_std,4,4.34159380197525,0.0028425471391528845,284.5,1
self_hist_career_r2_minus_r1_sig_str_landed_std,4,5.336633086204529,0.002808577293762937,392.0,1
opp_hist_f3_head_attempt_share_mean,4,4.957911133766174,0.002807023760396987,281.0,1
self_hist_f3_rounds_observed_mean,4,5.217915654182434,0.00279223415418528,288.0,1
diff_hist_career_r2_sig_str_attempted_std,4,2.2323299646377563,0.0027673924923874438,573.0,1
opp_hist_f1_total_str_attempted_per15_mean,4,3.371867299079895,0.002747092512436211,219.0,1
diff_hist_career_leg_attempted_per15_mean,4,6.026934027671814,0.0027418367099016905,314.5,1
opp_hist_f3_total_str_landed_per15_std,4,3.241203784942627,0.0026988202589564025,238.0,1
diff_hist_f3_leg_acc_std,4,4.342026650905609,0.0026586579479044303,341.0,1
self_hist_career_r1_td_attempted_mean,4,3.8347986936569214,0.0026400831120554358,342.5,1
self_hist_career_r3_ctrl_sec_std,4,5.450705051422119,0.0025953784061130136,496.0,1
diff_hist_career_total_str_landed_per15_mean,4,4.831381797790527,0.002566905241110362,361.0,1
opp_hist_f3_head_attempted_per15_std,4,2.7193766832351685,0.002539442153647542,559.0,1
diff_hist_f3_head_acc_mean,4,3.289264500141144,0.0025261756672989577,285.0,1
self_hist_d730_r3_minus_r1_ground_attempted_std,4,6.267502665519714,0.002513441926566884,285.5,1
diff_hist_d730_r3_minus_r1_ground_attempted_std,4,3.4448665380477905,0.002512881997972727,698.5,1
opp_hist_f3_r2_minus_r1_sig_str_landed_std,4,3.1020496487617493,0.00249484131927602,454.5,1
self_hist_career_r3_minus_r1_td_attempted_std,4,4.05924391746521,0.0024797244695946574,255.5,1
self_hist_f3_r2_sig_str_landed_mean,4,4.914136648178101,0.002421382931061089,368.0,1
diff_hist_f1_r2_td_attempted_mean,4,3.5718900561332703,0.002409183362033218,247.0,1
opp_hist_career_r1_ground_attempted_mean,4,4.199979305267334,0.0024064202734734863,313.5,1
opp_hist_career_distance_landed_per15_mean,4,4.948822617530823,0.0024024070298764855,389.0,1
self_hist_f3_r2_minus_r1_distance_attempted_std,4,3.939426064491272,0.0023972401104401797,344.5,1
opp_hist_d730_distance_acc_mean,4,3.1458685398101807,0.0022843655897304416,702.5,1
self_profile_weight,4,2.12969508767128,0.002274845421197824,443.0,1
self_profile_stance_southpaw,4,3.752871513366699,0.0021960679441690445,459.0,1
opp_hist_career_r2_sig_str_attempted_std,4,3.4359188079833984,0.002189662744058296,410.0,1
self_hist_d730_distance_landed_per15_mean,4,3.4750810861587524,0.002091066708089784,351.5,1
self_hist_f1_r1_sig_str_landed_mean,4,2.447699189186096,0.001855064823757857,671.0,1
opp_hist_d730_r3_minus_r1_sig_str_landed_std,4,3.2108203172683716,0.0017326891829725355,657.0,1
opp_profile_stance_southpaw,4,5.181322932243347,0.003850592242088169,152.5,0
self_hist_f3_leg_acc_std,4,4.634752869606018,0.00359908991958946,163.5,0
diff_hist_d730_r2_sig_str_landed_std,4,4.22136652469635,0.0034161648363806307,166.0,0
self_hist_f3_td_acc_std,4,5.172879278659821,0.0033989078947342932,166.5,0
opp_hist_f1_r1_sig_str_landed_mean,4,6.714410126209259,0.0032137243542820215,198.5,0
diff_hist_career_elapsed_seconds_std,4,4.94876503944397,0.003166521026287228,190.5,0
opp_hist_career_ground_attempts_per_control_min_std,4,4.725345969200134,0.0031213949259836227,173.5,0
self_hist_career_r1_clinch_attempted_mean,4,5.6094560623168945,0.003101845912169665,184.5,0
self_hist_career_clinch_acc_mean,4,4.205357909202576,0.0030516909318976104,210.5,0
opp_hist_career_clinch_acc_mean,4,4.8097838163375854,0.0029858870548196137,208.0,0
opp_hist_f3_leg_attempt_share_mean,4,4.335499465465546,0.0029590284975711256,203.0,0
self_hist_f3_r1_sig_str_attempted_std,4,4.346411287784576,0.002922141400631517,243.5,0
opp_hist_career_total_str_attempted_per15_mean,4,4.609651327133179,0.0029162121354602277,184.5,0
opp_hist_f3_r3_minus_r1_clinch_attempted_mean,4,5.131010293960571,0.0028670386818703264,276.5,0
diff_hist_career_elapsed_seconds_mean,4,5.463176608085632,0.002861800428945571,200.5,0
opp_hist_d730_r1_sig_str_landed_mean,4,5.049070477485657,0.0028327877225819975,227.5,0
opp_hist_f3_clinch_attempt_share_std,4,5.7381508350372314,0.002807861143082846,197.5,0
self_hist_f3_head_acc_std,4,5.058058023452759,0.002789893260342069,255.0,0
diff_hist_d730_head_landed_per15_mean,4,6.183556079864502,0.002700590732274577,197.0,0
opp_hist_d730_leg_attempted_per15_mean,4,4.538929462432861,0.0026967582816723734,299.0,0
self_hist_career_rev_per15_mean,4,5.091341614723206,0.0026921689423033968,221.0,0
