fold,variant,features,log_loss,brier,auc,accuracy,all_log_loss,all_brier,all_auc,all_accuracy,delta_log_loss_vs_all,delta_brier_vs_all,delta_auc_vs_all,delta_accuracy_vs_all
2020,all,1669,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.0,0.0,0.0,0.0
2020,physical_only,24,0.6790069650199394,0.2429445349744579,0.6016658550442334,0.5900900900900901,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.01884148585495049,0.008960776140110649,-0.046049427806184595,-0.03603603603603611
2020,fsr_like_only,168,0.6756554812497032,0.2413205314016884,0.6106038470903337,0.5765765765765766,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.015490002084714294,0.0073367725673411655,-0.037111435760084355,-0.0495495495495496
2020,novel_behavior_only,1477,0.6777014495576488,0.2423489251530857,0.6060384709033357,0.5675675675675675,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.01753597039265986,0.00836516631873846,-0.04167681194708228,-0.05855855855855863
2020,physical_plus_fsr_like,192,0.6621929022174491,0.2349206064343575,0.6425006087168249,0.5855855855855856,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.0020274230524601755,0.0009368476000102544,-0.005214674133593111,-0.04054054054054057
2020,physical_plus_novel,1501,0.661338129282081,0.23451633776133785,0.6454579579579579,0.6193693693693694,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.001172650117092111,0.0005325789269906012,-0.002257324892460111,-0.006756756756756799
2020,all_minus_physical,1645,0.6784236168121965,0.24270428224414048,0.6004332034737441,0.5472972972972973,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.01825813764720763,0.008720523409793235,-0.04728207937667395,-0.07882882882882891
2020,all_minus_volatility,967,0.6576338550617157,0.2328880201197559,0.6486131401671942,0.6103603603603603,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,-0.0025316241032732334,-0.0010957387145913433,0.0008978573167761628,-0.015765765765765827
2020,all_minus_round_progression,934,0.6644117773508565,0.23599212168931774,0.6372047723399075,0.6036036036036037,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.004246298185867636,0.002008362854970497,-0.010510510510510551,-0.022522522522522515
2020,all_minus_target_mix,1186,0.6608515199672611,0.2341917547905294,0.6526053080107135,0.6171171171171171,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.000686040802272192,0.00020799595618214983,0.004890025160295464,-0.009009009009009028
2020,all_minus_wrestling_control,1081,0.6638482859842426,0.23571616554975927,0.6392896274653032,0.6103603603603603,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.0036828068192537033,0.001732406715412027,-0.00842565538511486,-0.015765765765765827
2020,all_minus_duration_experience,1620,0.6622970719376389,0.23498001673154414,0.6438194951708466,0.6081081081081081,0.6601654791649889,0.23398375883434724,0.647715282850418,0.6261261261261262,0.0021315927726499595,0.0009962578971969005,-0.0038957876795714386,-0.018018018018018056
2021,all,1669,0.6729714735633376,0.2400536058847965,0.6161556866348998,0.5955734406438632,0.6729714735633376,0.2400536058847965,0.6161556866348998,0.5955734406438632,0.0,0.0,0.0,0.0
2021,physical_only,24,0.6822742025575544,0.2446728122918745,0.578238039909477,0.5633802816901409,0.6729714735633376,0.2400536058847965,0.6161556866348998,0.5955734406438632,0.009302728994216802,0.004619206407077997,-0.03791764672542286,-0.03219315895372232
2021,fsr_like_only,168,0.6830802135385907,0.24507381344643112,0.5697160832196397,0.5271629778672032,0.6729714735633376,0.2400536058847965,0.6161556866348998,0.5955734406438632,0.010108739975253078,0.0050202075616346264,-0.0464396034152601,-0.06841046277665996
2021,novel_behavior_only,1477,0.6867368697042373,0.24680627309169195,0.5701937986065284,0.5392354124748491,0.6729714735633376,0.2400536058847965,0.6161556866348998,0.5955734406438632,0.013765396140899666,0.006752667206895463,-0.04596188802837142,-0.05633802816901412
2021,physical_plus_fsr_like,192,0.6694246933897784,0.23847780372738242,0.6197668910849403,0.5955734406438632,0.6729714735633376,0.2400536058847965,0.6161556866348998,0.5955734406438632,-0.0035467801735592497,-0.001575802157414069,0.003611204450040484,0.0
2021,physical_plus_novel,1501,0.6726591371412568,0.2399889429823494,0.6121922682979163,0.5814889336016097,0.6729714735633376,0.2400536058847965,0.6161556866348998,0.5955734406438632,-0.0003123364220808389,-6.466290244708239e-05,-0.0039634183369835485,-0.014084507042253502
2021,all_minus_physical,1645,0.6819036364550558,0.24448441802091797,0.58052945439235,0.545271629778672,0.6729714735633376,0.2400536058847965,0.6161556866348998,0.5955734406438632,0.008932162891718165,0.004430812136121481,-0.035626232242549793,-0.05030181086519114
