threshold,accuracy,positive_pick_rate,negative_pick_rate,roc_auc,log_loss,brier_score
0.53,0.5841968911917098,39.89637305699482,60.10362694300518,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.52,0.5835492227979274,43.06994818652849,56.93005181347151,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.54,0.5835492227979274,35.94559585492228,64.05440414507773,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.48,0.5822538860103627,56.54145077720207,43.45854922279793,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.5,0.5822538860103627,50.712435233160626,49.287564766839374,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.55,0.5822538860103627,32.70725388601036,67.29274611398964,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.49,0.5751295336787565,53.23834196891192,46.76165803108808,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.51,0.5751295336787565,45.72538860103627,54.27461139896372,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.47,0.5744818652849741,59.39119170984456,40.60880829015544,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.56,0.5731865284974094,29.33937823834197,70.66062176165804,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.44,0.5712435233160622,69.43005181347151,30.569948186528496,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.57,0.5712435233160622,26.03626943005181,73.96373056994818,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.46,0.569300518134715,63.53626943005182,36.46373056994818,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.45,0.5686528497409327,67.09844559585493,32.901554404145074,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.43,0.5673575129533679,72.53886010362694,27.461139896373055,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.58,0.5628238341968912,23.639896373056995,76.36010362694302,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.42,0.5621761658031088,76.16580310880829,23.834196891191706,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.59,0.5569948186528497,21.373056994818654,78.62694300518135,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.41,0.5544041450777202,78.62694300518135,21.37305699481865,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.6,0.5537564766839378,19.624352331606218,80.37564766839378,0.6174192595774384,0.6696804926740163,0.2386467268121154
0.4,0.5518134715025906,80.82901554404145,19.17098445595855,0.6174192595774384,0.6696804926740163,0.2386467268121154
