threshold,accuracy,positive_pick_rate,negative_pick_rate,roc_auc,log_loss,brier_score
0.56,0.5841968911917098,35.233160621761655,64.76683937823834,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.48,0.5790155440414507,49.22279792746114,50.77720207253886,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.49,0.5790155440414507,49.22279792746114,50.77720207253886,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.5,0.5790155440414507,49.22279792746114,50.77720207253886,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.51,0.5790155440414507,49.22279792746114,50.77720207253886,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.52,0.5790155440414507,47.15025906735752,52.84974093264248,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.53,0.5790155440414507,47.15025906735752,52.84974093264248,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.54,0.5790155440414507,47.15025906735752,52.84974093264248,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.55,0.5790155440414507,47.15025906735752,52.84974093264248,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.45,0.5744818652849741,60.168393782383426,39.831606217616574,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.43,0.5738341968911918,60.23316062176166,39.76683937823834,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.44,0.5738341968911918,60.23316062176166,39.76683937823834,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.46,0.5731865284974094,60.038860103626945,39.961139896373055,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.47,0.5731865284974094,60.038860103626945,39.961139896373055,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.57,0.5654145077720207,24.54663212435233,75.45336787564767,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.58,0.5654145077720207,24.54663212435233,75.45336787564767,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.59,0.5654145077720207,24.54663212435233,75.45336787564767,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.6,0.5654145077720207,24.54663212435233,75.45336787564767,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.4,0.5628238341968912,76.23056994818653,23.769430051813465,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.41,0.5628238341968912,76.23056994818653,23.769430051813465,0.6159158635131146,0.6970051271410257,0.24113571736242884
0.42,0.5628238341968912,76.23056994818653,23.769430051813465,0.6159158635131146,0.6970051271410257,0.24113571736242884
