bucket,bucket_min_prob,bucket_max_prob,fight_count,avg_predicted_confidence,actual_win_rate,calibration_error,accuracy,avg_raw_probability,positive_pick_rate
0.50-0.55,0.5,0.55,61,0.5298943636847324,0.5409836065573771,0.011089242872644678,0.5409836065573771,0.4855920076370239,31.147540983606557
0.55-0.60,0.55,0.6,62,0.5738332036041445,0.5967741935483871,0.02294098994424265,0.5967741935483871,0.43746614119698923,8.064516129032258
0.60-0.65,0.6,0.65,57,0.6293734338199883,0.5263157894736842,-0.10305764434630416,0.5263157894736842,0.3749061085675892,1.7543859649122806
0.65-0.70,0.65,0.7,79,0.6736341405518448,0.620253164556962,-0.053380975994882784,0.620253164556962,0.32636585944815527,0.0
0.70-0.75,0.7,0.75,82,0.7239464532311369,0.7804878048780488,0.056541351646911875,0.7804878048780488,0.276053546768863,0.0
0.75-0.80,0.75,0.8,39,0.7790451859816526,0.8205128205128205,0.04146763453116786,0.8205128205128205,0.22095481401834732,0.0
0.80-0.85,0.8,0.85,54,0.8240912413155591,0.7777777777777778,-0.04631346353778132,0.7777777777777778,0.1759087586844409,0.0
0.85-0.90,0.85,0.9,70,0.8708005692277636,0.9285714285714286,0.05777085934366499,0.9285714285714286,0.12919943077223642,0.0
0.90-0.95,0.9,0.95,1,0.9008151143789291,1.0,0.09918488562107086,1.0,0.09918488562107086,0.0
