mechanic,kind,reach_bin,rows,mean_reach_edge,mean_residual,median_residual,actual,expected
distance_attempt_rate,count,"[-100,-6)",2222,-11.33969396939694,-0.14611131643870115,-0.08723575377236184,153521.0,155370.91976954511
distance_attempt_rate,count,"[-6,-4)",1073,-5.079999999999999,-0.047008788462946004,-0.014935911751474936,81687.0,78745.32800909292
distance_attempt_rate,count,"[-4,-2)",1267,-2.5399999999999996,-0.06950228768576056,-0.02668959045653683,93286.0,92727.9714727008
distance_attempt_rate,count,"[0,2)",1320,0.0,-0.08721516970045995,-0.044333545932408805,95108.0,92187.49756422173
distance_attempt_rate,count,"[2,4)",1267,2.5399999999999996,-0.07267281246970232,-0.03333695138468559,96850.0,93947.6726071224
distance_attempt_rate,count,"[4,6)",1073,5.079999999999999,-0.024258858176039573,0.0005790376447330573,86296.0,81154.62203688463
distance_attempt_rate,count,"[6,100)",2222,11.33969396939694,-0.036479668177121435,0.006205048591154632,173735.0,162625.07250085718
distance_accuracy,binomial,"[-100,-6)",2197,-11.329995448338643,0.06915704704205677,0.06811036124813155,0.4061919867640258,0.38798234085082817
distance_accuracy,binomial,"[-6,-4)",1070,-5.079999999999999,0.08928442754243471,0.07289734757561188,0.3991577607208001,0.3840833478090963
distance_accuracy,binomial,"[-4,-2)",1262,-2.5399999999999996,0.018653971889447035,0.02617774132879397,0.3889651180241408,0.384887525417278
distance_accuracy,binomial,"[0,2)",1316,0.0,0.07964423027227914,0.08367921981781384,0.39081885856079407,0.3801497380944403
distance_accuracy,binomial,"[2,4)",1260,2.5399999999999996,0.024049563172815678,0.04548049610949481,0.3871347444501807,0.37746317066002544
distance_accuracy,binomial,"[4,6)",1069,5.079999999999999,0.0514765947572319,0.04762826617755633,0.39158246036896266,0.3825558294054449
distance_accuracy,binomial,"[6,100)",2209,11.336287913082844,0.05798030356234061,0.05883508301023299,0.39806602008806513,0.38523510829367286
td_attempt_rate,count,"[-100,-6)",2222,-11.33969396939694,-0.29426505878964815,-0.23303664019206216,6817.0,6680.024989531385
td_attempt_rate,count,"[-6,-4)",1073,-5.079999999999999,-0.30322527117182346,-0.22757803431408868,3469.0,3352.009266350886
td_attempt_rate,count,"[-4,-2)",1267,-2.5399999999999996,-0.3461607888035466,-0.2759181791397612,3801.0,3699.1648754758253
td_attempt_rate,count,"[0,2)",1320,0.0,-0.3475701985925276,-0.2850301082357655,3815.0,3806.2168311144933
td_attempt_rate,count,"[2,4)",1267,2.5399999999999996,-0.33478636834208253,-0.2574015220904888,3679.0,3756.2881626568437
td_attempt_rate,count,"[4,6)",1073,5.079999999999999,-0.39763154214970636,-0.33856776165752045,2904.0,3123.109580563698
td_attempt_rate,count,"[6,100)",2222,11.33969396939694,-0.43692188920314184,-0.3806787170344294,5428.0,6065.020348458231
td_completion,binomial,"[-100,-6)",1531,-11.386035271064662,0.055609013343161144,-0.029695224064159476,0.35631509461640015,0.37390666086473845
td_completion,binomial,"[-6,-4)",739,-5.079999999999998,0.129685195676626,0.06579236344366124,0.35889305275295474,0.36775184474240397
td_completion,binomial,"[-4,-2)",821,-2.539999999999999,0.12820631503398608,-0.011925390698795002,0.3704288345172323,0.3749016726620752
td_completion,binomial,"[0,2)",856,0.0,0.09587048533941031,0.029643578584852566,0.37195281782437745,0.3799835264935911
td_completion,binomial,"[2,4)",876,2.5399999999999987,0.12006995291596663,0.051335457829678716,0.3778200597988584,0.37349889745042053
td_completion,binomial,"[4,6)",683,5.08,0.07081054717978208,-0.04855465900120359,0.3584710743801653,0.3764275117882986
td_completion,binomial,"[6,100)",1335,11.292059925093632,0.10539236375558043,0.0011088129229450683,0.3817243920412675,0.38448217050136674
ground_attempt_rate,count,"[-100,-6)",2222,-11.33969396939694,-0.9071010782555661,-1.1153904824571637,15584.0,16487.17423503352
ground_attempt_rate,count,"[-6,-4)",1073,-5.079999999999999,-0.8065218663421643,-0.8304951451120106,8043.0,7986.7936544895765
ground_attempt_rate,count,"[-4,-2)",1267,-2.5399999999999996,-0.7798561656335019,-0.8054477701385528,9342.0,9014.012813164478
ground_attempt_rate,count,"[0,2)",1320,0.0,-0.8825485290693922,-1.0760651480618968,8949.0,9155.118771473768
ground_attempt_rate,count,"[2,4)",1267,2.5399999999999996,-0.8195350478005888,-0.8135020880869537,8710.0,8930.190276895511
ground_attempt_rate,count,"[4,6)",1073,5.079999999999999,-0.8510606403585333,-0.9488184219641734,6510.0,7041.355590549693
ground_attempt_rate,count,"[6,100)",2222,11.33969396939694,-0.8349234230152285,-1.0069100181207267,14396.0,14385.342002120538
ground_accuracy,binomial,"[-100,-6)",1285,-11.324249027237354,0.009848445419890757,0.086209046256293,0.702258726899384,0.6955929638974722
ground_accuracy,binomial,"[-6,-4)",664,-5.079999999999998,-0.009566311136724574,0.04084689413462106,0.6951386298644784,0.6978294858881889
ground_accuracy,binomial,"[-4,-2)",790,-2.539999999999999,0.007602684876817694,0.10551378827571523,0.7056304859773068,0.6950834146864125
ground_accuracy,binomial,"[0,2)",766,0.0,0.05810990771842261,0.13976039367859688,0.7177338250083808,0.696811444767328
ground_accuracy,binomial,"[2,4)",777,2.539999999999999,-0.029559961213653292,0.09348652247230982,0.6988518943742824,0.6943553342942452
ground_accuracy,binomial,"[4,6)",643,5.079999999999999,0.00032041674736951265,0.07879131088662272,0.7036866359447005,0.6954065934698702
ground_accuracy,binomial,"[6,100)",1308,11.383394495412844,0.023655337054357586,0.14307424502283778,0.7101972770213948,0.6944438463950292
