fold,mechanic,kind,variant,train_rows,valid_rows,primary_metric,secondary_metric,primary_score,secondary_score
2020,ground_accuracy,binomial,division_age_height_reach_tanh,4223,465,attempt_log_loss,attempt_brier,0.5930495195933706,0.20150160248390842
2021,distance_attempt_rate,count,fsr_raw,7682,942,poisson_deviance,mae,10.32555100673974,22.68039066221573
2021,distance_attempt_rate,count,fsr_calibrated,7682,942,poisson_deviance,mae,10.023480370415763,22.64094629288844
2021,distance_attempt_rate,count,division_age,7682,942,poisson_deviance,mae,10.317985935053168,23.207389837644914
2021,distance_attempt_rate,count,division_age_height,7682,942,poisson_deviance,mae,10.1897573383136,23.050388469864085
2021,distance_attempt_rate,count,division_age_reach,7682,942,poisson_deviance,mae,10.187698484024452,23.079037975519768
2021,distance_attempt_rate,count,division_age_ape,7682,942,poisson_deviance,mae,10.306499348549758,23.207154352475197
2021,distance_attempt_rate,count,division_age_height_reach,7682,942,poisson_deviance,mae,10.155528521963824,23.02619847053862
2021,distance_attempt_rate,count,division_age_height_reach_tanh,7682,942,poisson_deviance,mae,10.16588899822121,23.023861026587245
2021,distance_accuracy,binomial,fsr_raw,7636,938,attempt_log_loss,attempt_brier,0.6820746978446776,0.24447274900062493
2021,distance_accuracy,binomial,fsr_calibrated,7636,938,attempt_log_loss,attempt_brier,0.6812251211767163,0.2440724854508359
2021,distance_accuracy,binomial,division_age,7636,938,attempt_log_loss,attempt_brier,0.6814496930063157,0.2441800269597707
2021,distance_accuracy,binomial,division_age_height,7636,938,attempt_log_loss,attempt_brier,0.6814830548318259,0.24419629268610715
2021,distance_accuracy,binomial,division_age_reach,7636,938,attempt_log_loss,attempt_brier,0.6814500691539754,0.24418002443177889
2021,distance_accuracy,binomial,division_age_ape,7636,938,attempt_log_loss,attempt_brier,0.6814590482313537,0.24418471082221002
2021,distance_accuracy,binomial,division_age_height_reach,7636,938,attempt_log_loss,attempt_brier,0.681485590024348,0.2441975716761075
2021,distance_accuracy,binomial,division_age_height_reach_tanh,7636,938,attempt_log_loss,attempt_brier,0.6814889395886792,0.24419927766671154
