fold,mechanic,kind,variant,term,beta,se,pvalue,effect_ratio_per_inch,effect_ratio_at_plus4_inches
2020,distance_attempt_rate,count,division_age_reach,reach_edge,0.002722852845854063,0.00017754030050865093,4.358538191448162e-53,1.0027265631764612,1.0109509387203264
2020,distance_attempt_rate,count,division_age_height_reach,reach_edge,0.0018432045081656166,0.0002255747303567367,3.054686039743319e-16,1.001844904253761,1.0074000641746554
2020,distance_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,0.01328986472305663,0.0021972737934523195,1.4634348440184728e-09,,1.010172878771779
2020,distance_accuracy,binomial,division_age_reach,reach_edge,-1.131331424664815e-05,0.0003725361757239271,0.9757732749574365,0.9999886867497486,0.9999547477669266
2020,distance_accuracy,binomial,division_age_height_reach,reach_edge,0.0006896617657952995,0.00046755515420618057,0.1402022433430395,1.0006898996371514,1.0027624556313506
2020,distance_accuracy,binomial,division_age_height_reach_tanh,reach_tanh,0.009312362723318835,0.0045405701892355654,0.04027438394328532,,1.007117450531673
2020,td_attempt_rate,count,division_age_reach,reach_edge,-0.004875329263864405,0.000874264099930232,2.4541315524823228e-08,0.995136535863885,0.9806876035678551
2020,td_attempt_rate,count,division_age_height_reach,reach_edge,-0.0008549980848882487,0.001119056189237349,0.4448463911539837,0.9991453673218262,0.9965858491730414
2020,td_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,-0.008319427077822475,0.010967544719410851,0.44812200885014375,,0.9936840032494911
2020,td_completion,binomial,division_age_reach,reach_edge,-0.0009406191434284221,0.001861481325348698,0.6133433781686662,0.9990598231000863,0.9962445926725333
2020,td_completion,binomial,division_age_height_reach,reach_edge,0.0033082134903602467,0.0023935743873711164,0.16693403017729325,1.003313691667937,1.0133207956518024
2020,td_completion,binomial,division_age_height_reach_tanh,reach_tanh,0.02841527630080517,0.02331179612478162,0.22287355210457926,,1.0218767711838328
2020,ground_attempt_rate,count,division_age_reach,reach_edge,-0.00025100305385325873,0.0005391895055412239,0.6415597084318321,0.9997490284447778,0.9989964916362128
2020,ground_attempt_rate,count,division_age_height_reach,reach_edge,-0.0015891543555141227,0.0007024373738265313,0.023676212635382308,0.9984121076816562,0.9936635431302108
2020,ground_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,-0.03175616048481899,0.0069504773628437135,4.902487442602696e-06,,0.9761048146840672
2020,ground_accuracy,binomial,division_age_reach,reach_edge,0.003640250167098378,0.001195978687331415,0.0023365568606189074,1.003646883924808,1.01466752846104
2020,ground_accuracy,binomial,division_age_height_reach,reach_edge,0.0027481945769628636,0.0015678168643699542,0.0796226344723343,1.0027519743253808,1.0110534209018034
2020,ground_accuracy,binomial,division_age_height_reach_tanh,reach_tanh,0.020337773129245923,0.015469575549760766,0.188612438485538,,1.0156097074680621
2021,distance_attempt_rate,count,division_age_reach,reach_edge,0.002721199762917766,0.00016593739831534661,1.9455911673787585e-60,1.00272490558766,1.0109442539994422
2021,distance_attempt_rate,count,division_age_height_reach,reach_edge,0.0016728944433124714,0.00021056922756025766,1.9477245516882767e-15,1.001674294511835,1.0067140164018185
2021,distance_attempt_rate,count,division_age_height_reach_tanh,reach_tanh,0.012209912429696925,0.0020531414724360704,2.731988283854846e-09,,1.0093423679609423
2021,distance_accuracy,binomial,division_age_reach,reach_edge,-0.000403530430918868,0.0003468514241932434,0.24466317607221555,0.999596550976535,0.9983871802701743
2021,distance_accuracy,binomial,division_age_height_reach,reach_edge,9.718385121409848e-05,0.0004353695149668439,0.8233630926239476,1.0000971885737175,1.0003888109722554
2021,distance_accuracy,binomial,division_age_height_reach_tanh,reach_tanh,0.002601099986408937,0.004235555823882129,0.5391422038719091,,1.0019829459909357
