event_date,bout_id,red_fighter,blue_fighter,P_red_win,P_blue_win,predicted_winner,predicted_winner_probability,predicted_side,P_KO_TKO,P_SUB,P_DEC,predicted_method,predicted_method_probability,P_red_KO_TKO,P_red_SUB,P_red_DEC,P_blue_KO_TKO,P_blue_SUB,P_blue_DEC,predicted_winner_method,predicted_joint_probability,actual_winner,actual_side,actual_method,actual_finish_round,actual_elapsed_seconds,simulated_mean_elapsed_seconds,simulated_mean_submission_attempts,simulated_mean_ground_seconds,simulated_mean_td_attempts,simulated_mean_td_landed,simulated_mean_ground_entries,simulated_nondecision_mean_seconds,winner_correct,method_correct,winner_method_correct,winner_probability_assigned_to_actual,market_american_odds_blue,market_american_odds_red,market_implied_probability_blue,market_implied_probability_red,market_overround,market_novig_p_red,market_novig_p_blue,market_available,market_favorite_side,market_favorite,market_correct,model_market_agree,model_minus_market_p_red,model_actual_probability,market_actual_probability,model_edge_predicted_side
2025-06-14,b39b8ff0d7de211a,Cody Durden,Jose Ochoa,0.56,0.43999999999999995,Cody Durden,0.56,red,0.16,0.23,0.6100000000000001,DEC,0.6100000000000001,0.14,0.14,0.28,0.02,0.09,0.33,blue_DEC,0.33,Jose Ochoa,blue,KO_TKO,2,311.0,664.8151098325236,1.05,111.41108898842694,4.17,1.67,1.67,296.9618200833938,False,False,False,0.43999999999999995,-205.0,172.0,0.6721311475409836,0.36764705882352944,0.039778206364513125,0.35358219336888475,0.6464178066311151,True,blue,Jose Ochoa,1.0,0.0,0.2064178066311153,0.43999999999999995,0.6464178066311151,0.2064178066311153
2025-06-14,d75b3d3c2b209b75,Kamaru Usman,Joaquin Buckley,0.69,0.31000000000000005,Kamaru Usman,0.69,red,0.53,0.05,0.42,KO_TKO,0.53,0.43,0.02,0.24,0.1,0.03,0.18,red_KO_TKO,0.43,Kamaru Usman,red,DEC,5,1500.0,894.3854141513078,0.28,100.65444538115729,5.73,1.83,1.83,455.8369209505307,True,False,False,0.69,-220.0,184.0,0.6875,0.352112676056338,0.039612676056338,0.3386960203217612,0.6613039796782388,True,blue,Joaquin Buckley,0.0,0.0,0.35130397967823873,0.69,0.3386960203217612,0.35130397967823873
2025-06-14,e5bd7e6e2a50a843,Edmen Shahbazyan,Andre Petroski,0.30000000000000004,0.7,Andre Petroski,0.7,blue,0.21000000000000002,0.37,0.42,DEC,0.42,0.14,0.04,0.12,0.07,0.33,0.3,blue_SUB,0.33,Edmen Shahbazyan,red,DEC,3,900.0,571.249068927464,1.74,134.68342165995034,4.97,2.14,2.14,333.18804987493786,False,True,False,0.30000000000000004,142.0,-168.0,0.4132231404958678,0.6268656716417911,0.0400888121376588,0.6027039848197344,0.3972960151802657,True,red,Edmen Shahbazyan,1.0,0.0,-0.3027039848197344,0.30000000000000004,0.6027039848197344,0.30270398481973426
2025-06-14,e861e9cc0118c670,Michael Chiesa,Court McGee,0.4,0.6,Court McGee,0.6,blue,0.18,0.17,0.6499999999999999,DEC,0.6499999999999999,0.15,0.07,0.18,0.03,0.1,0.47,blue_DEC,0.47,Michael Chiesa,red,DEC,3,900.0,709.9492345502275,1.02,125.99978987237421,6.9,2.48,2.48,356.9978130006496,False,True,False,0.4,270.0,-335.0,0.2702702702702703,0.7701149425287356,0.040385212799005865,0.7402209614810391,0.2597790385189609,True,red,Michael Chiesa,1.0,0.0,-0.3402209614810391,0.4,0.7402209614810391,0.3402209614810391
2025-06-14,ec2034b134ae71cd,Alonzo Menifield,Oumar Sy,0.44000000000000006,0.5599999999999999,Oumar Sy,0.5599999999999999,blue,0.48,0.04,0.48,KO_TKO,0.48,0.24,0.03,0.17,0.24,0.01,0.31,blue_DEC,0.31,Alonzo Menifield,red,DEC,3,900.0,595.1782267781682,0.23,46.70449309651654,4.34,0.8,0.8,313.80428226570814,False,False,False,0.44000000000000006,-670.0,490.0,0.8701298701298701,0.1694915254237288,0.03962139555359889,0.16303197120474275,0.8369680287952572,True,blue,Oumar Sy,0.0,1.0,0.2769680287952573,0.44000000000000006,0.16303197120474275,-0.2769680287952573
2025-06-14,f6454f2e508626ec,Malcolm Wellmaker,Kris Moutinho,0.79,0.20999999999999996,Malcolm Wellmaker,0.79,red,0.58,0.05,0.37,KO_TKO,0.58,0.48,0.01,0.3,0.1,0.04,0.07,red_KO_TKO,0.48,Malcolm Wellmaker,red,KO_TKO,1,157.0,531.1128588508255,0.38,61.309782874235125,1.89,0.76,0.76,314.46485531877084,True,True,True,0.79,980.0,-1800.0,0.09259259259259259,0.9473684210526315,0.0399610136452242,0.9109653233364573,0.08903467666354263,True,red,Malcolm Wellmaker,1.0,1.0,-0.12096532333645726,0.79,0.9109653233364573,-0.12096532333645726
2025-06-21,03bc32bdb5a33496,Jamahal Hill,Khalil Rountree Jr.,0.31,0.69,Khalil Rountree Jr.,0.69,blue,0.98,0.01,0.01,KO_TKO,0.98,0.3,0.01,0.0,0.68,0.0,0.01,blue_KO_TKO,0.68,Khalil Rountree Jr.,blue,DEC,5,1500.0,294.47695186044564,0.09,13.02832439098485,1.31,0.33,0.33,282.2999513741875,True,False,False,0.69,100.0,-118.0,0.5,0.5412844036697247,0.041284403669724856,0.5198237885462554,0.48017621145374445,True,red,Jamahal Hill,0.0,0.0,-0.20982378854625544,0.69,0.48017621145374445,0.2098237885462555
2025-06-21,19764211af05674c,Muhammad Naimov,Bogdan Grad,0.56,0.43999999999999995,Muhammad Naimov,0.56,red,0.16999999999999998,0.16,0.6699999999999999,DEC,0.6699999999999999,0.15,0.03,0.38,0.02,0.13,0.29,red_DEC,0.38,Muhammad Naimov,red,DEC,3,900.0,706.7824269513283,0.49,200.97179071554402,8.62,3.08,3.08,314.49220288281253,True,True,True,0.56,205.0,-250.0,0.32786885245901637,0.7142857142857143,0.042154566744730726,0.6853932584269663,0.31460674157303364,True,red,Muhammad Naimov,1.0,1.0,-0.12539325842696625,0.56,0.6853932584269663,-0.12539325842696625
2025-06-21,2bfc0212f2cae65b,Irina Alekseeva,Klaudia Sygula,0.6900000000000001,0.30999999999999994,Irina Alekseeva,0.6900000000000001,red,0.07,0.21000000000000002,0.72,DEC,0.72,0.03,0.14,0.52,0.04,0.07,0.2,red_DEC,0.52,Klaudia Sygula,blue,DEC,3,900.0,766.7198190983295,1.08,119.67614883026813,5.14,1.8,1.8,423.9993539226047,False,True,False,0.30999999999999994,200.0,-245.0,0.3333333333333333,0.7101449275362319,0.04347826086956519,0.6805555555555556,0.3194444444444444,True,red,Irina Alekseeva,0.0,1.0,0.009444444444444478,0.30999999999999994,0.3194444444444444,0.009444444444444478
2025-06-21,36ec204f47e4d613,Tofiq Musayev,Myktybek Orolbai,0.33,0.6699999999999999,Myktybek Orolbai,0.6699999999999999,blue,0.08,0.15000000000000002,0.77,DEC,0.77,0.04,0.07,0.22,0.04,0.08,0.55,blue_DEC,0.55,Myktybek Orolbai,blue,SUB,1,275.0,778.1654737224172,0.92,211.12594461435063,8.59,3.82,3.82,370.28466835833586,True,False,False,0.6699999999999999,-186.0,156.0,0.6503496503496503,0.390625,0.04097465034965042,0.3752492914873517,0.6247507085126481,True,blue,Myktybek Orolbai,1.0,1.0,-0.045249291487351684,0.6699999999999999,0.6247507085126481,0.045249291487351795
2025-06-21,5fcf18bcd2a020f1,Ismail Naurdiev,JunYong Park,0.52,0.48,Ismail Naurdiev,0.52,red,0.04,0.21,0.75,DEC,0.75,0.02,0.06,0.44,0.02,0.15,0.31,red_DEC,0.44,JunYong Park,blue,DEC,3,900.0,787.9234213242343,1.01,240.56807547212028,7.94,3.42,3.42,451.6936852969367,False,True,False,0.48,-190.0,160.0,0.6551724137931034,0.38461538461538464,0.039787798408488007,0.3698979591836735,0.6301020408163266,True,blue,JunYong Park,1.0,0.0,0.1501020408163265,0.48,0.6301020408163266,0.1501020408163265
2025-06-21,7513a00037094075,Nazim Sadykhov,Nikolas Motta,0.6799999999999999,0.32000000000000006,Nazim Sadykhov,0.6799999999999999,red,0.76,0.04,0.2,KO_TKO,0.76,0.57,0.03,0.08,0.19,0.01,0.12,red_KO_TKO,0.57,Nazim Sadykhov,red,KO_TKO,2,557.0,384.3838399882493,0.27,32.29264144559388,1.14,0.54,0.54,255.4797999853116,True,True,True,0.6799999999999999,330.0,-420.0,0.23255813953488372,0.8076923076923077,0.0402504472271914,0.7764402407566638,0.2235597592433362,True,red,Nazim Sadykhov,1.0,1.0,-0.09644024075666391,0.6799999999999999,0.7764402407566638,-0.09644024075666391
