threshold,accuracy,positive_pick_rate,negative_pick_rate,roc_auc,log_loss,brier_score
0.49,0.699009900990099,1.782178217821782,98.21782178217822,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.51,0.699009900990099,0.9900990099009901,99.00990099009901,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.52,0.699009900990099,0.594059405940594,99.4059405940594,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.5,0.697029702970297,1.5841584158415842,98.41584158415841,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.56,0.697029702970297,0.0,100.0,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.57,0.697029702970297,0.0,100.0,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.58,0.697029702970297,0.0,100.0,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.59,0.697029702970297,0.0,100.0,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.6,0.697029702970297,0.0,100.0,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.53,0.695049504950495,0.19801980198019803,99.8019801980198,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.54,0.695049504950495,0.19801980198019803,99.8019801980198,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.55,0.695049504950495,0.19801980198019803,99.8019801980198,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.47,0.6831683168316832,4.158415841584159,95.84158415841584,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.48,0.6831683168316832,3.3663366336633667,96.63366336633663,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.46,0.6752475247524753,6.534653465346535,93.46534653465346,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.45,0.6732673267326733,7.128712871287128,92.87128712871288,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.44,0.6673267326732674,9.306930693069306,90.6930693069307,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.41,0.6633663366336634,14.85148514851485,85.14851485148515,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.43,0.6594059405940594,10.891089108910892,89.10891089108911,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.42,0.6554455445544555,11.683168316831685,88.31683168316832,0.5734365715983363,0.6103716578849592,0.21005366228585048
0.4,0.6534653465346535,19.00990099009901,80.990099009901,0.5734365715983363,0.6103716578849592,0.21005366228585048
