variant,folds,mean_features,mean_log_loss,mean_brier,mean_auc,mean_accuracy
manual_pruned,4,1137.0,0.6628445854990912,0.23520081505613794,0.6431350758164751,0.6051721356758099
manual_full,4,1669.0,0.6645133280277838,0.23599832712129828,0.6378461624104558,0.6078642959192562
manual_pruned_plus_tsfresh,4,4035.0,0.6653627119920636,0.23639309559410432,0.6382997880427421,0.5994035622595022
manual_full_plus_tsfresh,4,4567.0,0.6658338631399643,0.23663459193705422,0.6337268549840458,0.6057022275255588
physical_plus_tsfresh,4,2922.0,0.6668624082796225,0.23714321105883207,0.6319809534486827,0.5934450509810277
physical_only,4,24.0,0.6763771911906329,0.24170575477983214,0.6042860550217618,0.5814181945343917
tsfresh_only,4,2898.0,0.6830183819021115,0.2450025823654054,0.5812753499950403,0.5596213223088606
