check,passed,value
outer_start_unchanged,True,2024-01-01
outer_rows_reserved_not_scored,True,2674
history_strictly_prior_date,True,0
exactly_two_directional_rows_per_fight,True,{2: 7317}
targets_complement_within_fight,True,0
development_folds_only,True,"[2020, 2021, 2022, 2023]"
