fight_id,red_name,blue_name,winner_name,method,miss_type,oracle_correct,expected_correct,mc_correct,oracle_p_red,expected_p_red,mc_p_red,mc_confidence,actual_winner_sig_edge,actual_winner_standing_edge,actual_winner_ground_edge,actual_winner_td_edge,actual_winner_control_edge,expected_winner_sig_edge,expected_winner_standing_edge,expected_winner_ground_edge,expected_winner_td_edge,expected_winner_control_edge,sim_winner_sig_edge,sim_winner_standing_edge,sim_winner_ground_edge,sim_winner_td_edge,sim_winner_control_edge
0f20c1d7c44fa5fe,Raul Rosas Jr.,Vince Morales,Raul Rosas Jr.,Decision - Unanimous,MC_CORRECT,True,True,True,0.9651829663867668,0.999472588539434,0.9607287305673607,0.9607287305673607,3.0,0.0,3.0,3.0,444.0,15.088405021356373,0.2903754515057946,14.798029569850577,8.188452868055494,703.1407721470237,14.000000000000002,2.3000000000000007,11.700000000000001,7.5,535.5
33e301872e2b5680,Brandon Moreno,Steve Erceg,Brandon Moreno,Decision - Unanimous,MC_CORRECT,False,True,True,0.2681360356364182,0.5223180964312631,0.5756727522877828,0.5756727522877828,-27.0,-27.0,0.0,1.0,58.0,-11.163131338203225,-12.452463752747477,1.2893324145442504,1.5083575641229254,110.8208803799428,-11.949999999999994,-7.849999999999994,-4.1,2.6,200.0
41cdbcc0f3635b8f,Christian Rodriguez,Melquizael Costa,Melquizael Costa,Decision - Unanimous,JUDGE_OR_ROUND_MISS,False,False,False,0.5939882656595665,0.6226437211345695,0.5731264771782935,0.5731264771782935,1.0,-19.0,20.0,-5.0,-115.0,-7.4961367833073975,0.12794251757265585,-7.624079300880053,1.0046191393991664,117.27775664165142,-9.3,-3.25,-6.05,2.2,96.0
5ba7dd466e30169f,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,Decision - Unanimous,MC_CORRECT,True,True,True,0.2509746516710339,0.405544552113278,0.4329890588780355,0.5670109411219645,19.0,17.0,2.0,-1.0,-41.0,6.9201985141479785,6.470835791213105,0.44936272293487356,0.47063565618853853,7.0463768858734,8.999999999999998,10.649999999999999,-1.6500000000000004,-0.8,-30.0
7e3fc760b26b6ae4,Rafa Garcia,Vinc Pichel,Rafa Garcia,Decision - Unanimous,MC_CORRECT,False,True,True,0.4250645597233214,0.7431888120468572,0.5983470976384552,0.5983470976384552,-15.0,-15.0,0.0,2.0,111.0,4.857237778023579,2.7751994465213556,2.082038331502224,0.8721862666271527,77.23128581778991,-0.599999999999997,-1.7999999999999972,1.2000000000000002,1.6,103.5
7efca050bc7be8ac,Loopy Godinez,Julia Polastri,Loopy Godinez,Decision - Unanimous,MC_CORRECT,True,True,True,0.923881162820763,0.8782019786946575,0.8069685172519364,0.8069685172519364,-3.0,0.0,-3.0,5.0,431.0,22.59298588878111,21.627318090702204,0.9656677980789072,0.7271000319595675,64.72206843071469,26.45,25.5,0.9500000000000002,0.3500000000000001,140.5
9f66d450af690df5,MarQuel Mederos,Austin Hubbard,MarQuel Mederos,Decision - Split,MC_CORRECT,True,False,True,0.5866262572871119,0.4995012908167408,0.5170590400056682,0.5170590400056682,18.0,11.0,7.0,-2.0,-311.0,-1.555573552529522,-1.1430816607130723,-0.41249189181644974,-0.1744205551514839,-13.343728695991786,1.0000000000000018,1.8500000000000014,-0.8499999999999996,-1.95,-29.5
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,MC_CORRECT,True,True,True,0.7189338765335415,0.7898501104982938,0.6896090646210742,0.6896090646210742,9.0,9.0,0.0,0.0,0.0,8.39851822373462,3.035805636363058,5.36271258737156,0.20099360157582025,65.29525961992121,11.350000000000003,5.550000000000004,5.799999999999999,0.0,82.5
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,MC_CORRECT,True,True,True,0.8529881860377655,0.7722593281016672,0.500491654583921,0.500491654583921,16.0,9.0,7.0,-2.0,72.0,29.03981481955465,27.745895475663495,1.293919343891155,-1.6324692261356122,-169.86318304295457,9.100000000000009,8.100000000000009,1.0000000000000004,-1.4499999999999997,-117.5
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,MC_CORRECT,True,True,True,0.1707412804944446,0.1171624431819458,0.1997418529759338,0.8002581470240662,43.0,43.0,-0.0,-4.0,-170.0,50.62292315784281,46.42207429616431,4.200848861678504,0.6135235528438681,46.174849824228176,56.2,46.900000000000006,9.3,0.8500000000000001,32.5
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,SIMULATION_MISS,True,False,False,0.8727574164110689,0.3996996081907358,0.4372592920266949,0.5627407079733051,22.0,22.0,0.0,0.0,0.0,-8.351105784401616,-7.748124046677702,-0.6029817377239142,-0.13746206785267712,-6.540284350577039,-15.599999999999996,-16.199999999999996,0.6000000000000001,0.0,-12.0
a160e94fdb66de17,Pat Sabatini,Joanderson Brito,Pat Sabatini,Decision - Unanimous,MC_CORRECT,True,True,True,0.9999113875818444,0.8093874674545048,0.5864202287859636,0.5864202287859636,21.0,0.0,21.0,4.0,827.0,-0.583647312835124,-1.9986265918012727,1.4149792789661486,0.4473959629164357,231.5510540169464,-5.499999999999998,-2.3999999999999986,-3.0999999999999996,0.8500000000000001,200.5
cca4d763b1c6de0a,Vanessa Demopoulos,Talita Alencar,Talita Alencar,Decision - Unanimous,MC_CORRECT,True,True,True,0.0001260733487742,0.1414768206191417,0.2496932144936334,0.7503067855063665,35.0,5.0,30.0,4.0,756.0,14.226394477744476,10.405226880406346,3.82116759733813,0.8360506312474214,150.6429768259007,21.249999999999993,14.349999999999994,6.8999999999999995,1.7999999999999998,190.5
d1368ca941c1fefc,Torrez Finney,Robert Valentin,Torrez Finney,Decision - Split,MC_CORRECT,True,True,True,0.8469880179007913,0.8509692511692835,0.6565447026101077,0.6565447026101077,-19.0,-16.0,-3.0,8.0,780.0,9.60011878224308,3.3743508246461076,6.225767957596972,0.8237297484174385,117.0660471814048,6.650000000000004,-0.7999999999999972,7.450000000000001,0.0,141.5
fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Decision - Unanimous,MC_CORRECT,True,True,True,0.6166864806201973,0.9261714588147344,0.7509961498856862,0.7509961498856862,-4.0,-4.0,0.0,3.0,79.0,5.805090440343767,0.5622524745225874,5.242837965821179,3.1214741766615055,292.6941629189671,0.0,-4.0,4.0,4.65,234.5
0eccebee160137b1,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Decision - Unanimous,SIMULATION_MISS,True,False,False,0.1205421115171273,0.6117851779548671,0.5708881051448038,0.5708881051448038,-6.0,-4.0,-2.0,3.0,572.0,-21.602180830469575,-23.054804975274884,1.45262414480531,2.4826342803857315,245.32119547082334,-18.200000000000003,-19.300000000000004,1.1,2.65,211.0
11eb27a1ac74d225,Jim Miller,Chase Hooper,Chase Hooper,Decision - Unanimous,MC_CORRECT,True,True,True,0.0161602355116495,0.0143696543471641,0.2630585345202832,0.7369414654797168,8.0,11.0,-3.0,7.0,509.0,23.512516032936688,8.06457632871621,15.447939704220476,1.1976726462359215,343.9580903952059,19.349999999999994,8.449999999999996,10.9,0.1499999999999999,219.0
d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Decision - Unanimous,MC_CORRECT,True,True,True,0.996757907027297,0.8411605546148495,0.7891976913709084,0.7891976913709084,53.0,28.0,25.0,0.0,75.0,28.79386283520804,27.98704764590388,0.806815189304162,-0.8859866710394878,-105.10863997552312,31.800000000000004,29.150000000000006,2.6500000000000004,-0.5999999999999999,-100.5
e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Decision - Unanimous,MC_CORRECT,True,True,True,0.986283354954214,0.9587684135804492,0.7935883938917462,0.7935883938917462,95.0,87.0,8.0,1.0,73.0,54.08023496464193,36.6389163604361,17.44131860420583,0.9142954728798657,150.7191205554619,44.45000000000001,33.55000000000001,10.899999999999999,1.15,161.0
