fight_id,red_name,blue_name,winner_name,method,variant,actual_red_win,predicted_red_win,red_rounds,blue_rounds,tied_rounds,correct
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,SIG_ONLY,1,1.0,3,0,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,SIG_KD,1,1.0,3,0,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,SIG_KD_TD,1,1.0,3,0,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
0c80eef2f4570543,Brad Tavares,Gerald Meerschaert,Brad Tavares,Decision - Unanimous,DAMAGE_FIRST,1,1.0,3,0,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,SIG_ONLY,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,SIG_KD,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,SIG_KD_TD,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,OLD_FULL,1,1.0,2,1,0,True
4b1aec2395ebca14,Victor Henry,Pedro Falcao,Victor Henry,Decision - Unanimous,DAMAGE_FIRST,1,1.0,2,1,0,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,SIG_ONLY,0,0.0,0,4,1,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,SIG_KD,0,0.0,0,4,1,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,SIG_KD_TD,0,0.0,1,4,0,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,SIG_KD_TD_CTRL,0,0.0,1,4,0,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,OLD_FULL,0,0.0,1,4,0,True
86a1be10255eea4e,Josh Emmett,Lerone Murphy,Lerone Murphy,Decision - Unanimous,DAMAGE_FIRST,0,0.0,1,4,0,True
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,SIG_ONLY,1,1.0,3,0,0,True
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,SIG_KD,1,1.0,3,0,0,True
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,SIG_KD_TD,1,1.0,3,0,0,True
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,3,0,0,True
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,OLD_FULL,1,1.0,3,0,0,True
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,DAMAGE_FIRST,1,1.0,3,0,0,True
a160e94fdb66de17,Pat Sabatini,Joanderson Brito,Pat Sabatini,Decision - Unanimous,SIG_ONLY,1,1.0,3,0,0,True
a160e94fdb66de17,Pat Sabatini,Joanderson Brito,Pat Sabatini,Decision - Unanimous,SIG_KD,1,1.0,3,0,0,True
a160e94fdb66de17,Pat Sabatini,Joanderson Brito,Pat Sabatini,Decision - Unanimous,SIG_KD_TD,1,1.0,3,0,0,True
a160e94fdb66de17,Pat Sabatini,Joanderson Brito,Pat Sabatini,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,3,0,0,True
a160e94fdb66de17,Pat Sabatini,Joanderson Brito,Pat Sabatini,Decision - Unanimous,OLD_FULL,1,1.0,3,0,0,True
a160e94fdb66de17,Pat Sabatini,Joanderson Brito,Pat Sabatini,Decision - Unanimous,DAMAGE_FIRST,1,1.0,3,0,0,True
cca4d763b1c6de0a,Vanessa Demopoulos,Talita Alencar,Talita Alencar,Decision - Unanimous,SIG_ONLY,0,0.0,0,3,0,True
cca4d763b1c6de0a,Vanessa Demopoulos,Talita Alencar,Talita Alencar,Decision - Unanimous,SIG_KD,0,0.0,0,3,0,True
cca4d763b1c6de0a,Vanessa Demopoulos,Talita Alencar,Talita Alencar,Decision - Unanimous,SIG_KD_TD,0,0.0,0,3,0,True
cca4d763b1c6de0a,Vanessa Demopoulos,Talita Alencar,Talita Alencar,Decision - Unanimous,SIG_KD_TD_CTRL,0,0.0,0,3,0,True
cca4d763b1c6de0a,Vanessa Demopoulos,Talita Alencar,Talita Alencar,Decision - Unanimous,OLD_FULL,0,0.0,0,3,0,True
cca4d763b1c6de0a,Vanessa Demopoulos,Talita Alencar,Talita Alencar,Decision - Unanimous,DAMAGE_FIRST,0,0.0,0,3,0,True
d1368ca941c1fefc,Torrez Finney,Robert Valentin,Torrez Finney,Decision - Split,SIG_ONLY,1,0.0,1,2,0,False
d1368ca941c1fefc,Torrez Finney,Robert Valentin,Torrez Finney,Decision - Split,SIG_KD,1,0.0,1,2,0,False
d1368ca941c1fefc,Torrez Finney,Robert Valentin,Torrez Finney,Decision - Split,SIG_KD_TD,1,1.0,2,1,0,True
d1368ca941c1fefc,Torrez Finney,Robert Valentin,Torrez Finney,Decision - Split,SIG_KD_TD_CTRL,1,1.0,3,0,0,True
d1368ca941c1fefc,Torrez Finney,Robert Valentin,Torrez Finney,Decision - Split,OLD_FULL,1,1.0,3,0,0,True
