fight_id,duration,red_name,blue_name,sig_landed_diff_15m,standing_landed_diff_15m,ground_landed_diff_15m,td_landed_diff_15m,control_diff_15m,sig_share_edge,control_share_edge,path,judge_p_red,judge_red_wins_path
33e301872e2b5680,1500.0,Brandon Moreno,Steve Erceg,-6.6,-6.6,0.0,0.6,60.0,-0.026315789473684237,0.3125,11,0.48382583195697637,0
33e301872e2b5680,1500.0,Brandon Moreno,Steve Erceg,3.6,3.6,0.0,1.8,150.0,0.012605042016806678,0.5,12,0.7556286482578851,1
33e301872e2b5680,1500.0,Brandon Moreno,Steve Erceg,-38.4,-45.6,7.2,0.0,0.0,-0.11188811188811187,0.0,13,0.1292409537894812,0
33e301872e2b5680,1500.0,Brandon Moreno,Steve Erceg,-18.6,-21.6,3.0,1.2,90.0,-0.051155115511551164,0.5,14,0.37253108080552355,0
33e301872e2b5680,1500.0,Brandon Moreno,Steve Erceg,-4.2,-4.2,0.0,4.8,48.0,-0.020231213872832388,0.4,15,0.5741613435510083,1
33e301872e2b5680,1500.0,Brandon Moreno,Steve Erceg,7.8,7.8,0.0,-1.2,0.0,0.046762589928057596,0.0,16,0.6786444499234386,1
33e301872e2b5680,1500.0,Brandon Moreno,Steve Erceg,-19.2,-19.2,0.0,1.2,318.0,-0.12903225806451613,0.4818181818181818,17,0.5318361977549227,1
33e301872e2b5680,1500.0,Brandon Moreno,Steve Erceg,-3.0,4.8,-7.8,3.0,162.0,-0.011627906976744207,0.5,18,0.6347697193063946,1
33e301872e2b5680,1500.0,Brandon Moreno,Steve Erceg,25.2,11.4,13.799999999999999,1.8,204.0,0.147887323943662,0.27419354838709675,19,0.9811338985183818,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,7.0,4.0,3.0,0.0,-489.99999999999994,0.044303797468354444,-0.4803921568627451,0,0.16738823924305288,0
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,11.0,11.0,0.0,-8.0,-310.0,0.14102564102564108,-0.20666666666666667,1,0.33542541476117504,0
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,23.0,10.0,13.0,-4.0,-590.0,0.15333333333333332,-0.48360655737704916,2,0.33154282792440354,0
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,25.0,25.0,0.0,-13.0,-360.0,0.10683760683760679,-0.4736842105263158,3,0.297425214878107,0
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,5.0,1.0,4.0,1.0,70.0,0.040983606557377095,0.09999999999999998,4,0.7798187602379787,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,-20.0,-23.0,3.0,1.0,300.0,-0.125,0.2586206896551724,5,0.564386823448906,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,34.0,18.0,16.0,-1.0,-210.0,0.16346153846153844,-0.19811320754716982,6,0.9001826061194245,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,11.0,-1.0,12.0,7.0,459.99999999999994,0.14864864864864868,0.27380952380952384,7,0.9944736392913271,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,1.0,0.0,1.0,1.0,740.0,0.5,0.4111111111111111,8,0.9995873471520232,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,11.0,0.0,11.0,-2.0,-120.0,0.42307692307692313,-0.06666666666666665,9,0.9598834185903767,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,-16.0,0.0,-16.0,2.0,720.0,-0.4444444444444444,0.40909090909090906,10,0.47680181302344216,0
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,6.0,0.0,6.0,3.0,140.0,0.30000000000000004,0.07777777777777772,11,0.9768861900886938,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,4.0,10.0,-6.0,-7.0,-210.0,0.012195121951219523,-0.4565217391304348,12,0.2181619339696044,0
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,1.0,10.0,-9.0,-6.0,-290.0,0.005050505050505083,-0.3372093023255814,13,0.11698981337306458,0
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,-7.0,3.0,-10.0,1.0,300.0,-0.026717557251908386,0.5,14,0.6955657117266385,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,50.0,0.0,50.0,-9.0,-900.0,0.5,-0.5,15,0.8861501384474294,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,17.0,12.0,5.0,0.0,-580.0,0.11038961038961037,-0.5,16,0.23886388930335173,0
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,1.0,0.0,1.0,-2.0,-20.0,0.021739130434782594,-0.011111111111111127,17,0.5385451657604737,1
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,-32.0,-32.0,0.0,-1.0,-280.0,-0.2285714285714286,-0.28,18,0.014297465012750967,0
41cdbcc0f3635b8f,900.0,Christian Rodriguez,Melquizael Costa,54.0,17.0,37.0,-7.0,-290.0,0.2410714285714286,-0.28431372549019607,19,0.9701531312136462,1
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,72.0,31.0,41.0,0.0,-50.0,0.16666666666666663,-0.5,0,0.997467977085538,1
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-70.0,-54.0,-16.0,2.0,40.0,-0.22151898734177217,0.09090909090909094,1,0.010514575037244771,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,14.0,15.0,-1.0,0.0,-30.0,0.04117647058823526,-0.3,2,0.7404374037040625,1
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-2.0,-2.0,0.0,-3.0,-540.0,-0.01785714285714285,-0.5,3,0.04534147083776016,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-12.0,-26.0,14.0,-1.0,-280.0,-0.05263157894736842,-0.368421052631579,4,0.1694529764131652,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-7.0,-7.0,0.0,0.0,0.0,-0.03153153153153154,0.0,5,0.4223055187312573,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-6.0,-3.0,-3.0,0.0,110.0,-0.02542372881355931,0.3666666666666667,6,0.5137932705962583,1
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-20.0,-14.0,-6.0,0.0,60.0,-0.0625,0.09999999999999998,7,0.2647463160816843,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-3.0,21.0,-24.0,1.0,80.0,-0.009316770186335421,0.33333333333333337,8,0.3576518209736874,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-18.0,-16.0,-2.0,2.0,130.0,-0.0625,0.5,9,0.38453570974152673,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-1.0,-1.0,0.0,1.0,130.0,-0.004672897196261683,0.18571428571428572,10,0.6976004866337769,1
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,5.0,5.0,0.0,0.0,640.0,0.1923076923076923,0.4,11,0.994281730969591,1
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-44.0,-48.0,4.0,-1.0,-100.0,-0.19642857142857145,-0.13157894736842107,12,0.03164428984760281,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,22.0,-10.0,32.0,9.0,180.0,0.08730158730158732,0.5,13,0.9880150403073855,1
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,1.0,5.0,-4.0,-1.0,-70.0,0.0034965034965035446,-0.23333333333333334,14,0.4434021411185902,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-25.0,-22.0,-3.0,1.0,110.0,-0.07861635220125784,0.23913043478260865,15,0.27986322502670086,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-13.0,-19.0,6.0,-1.0,-400.0,-0.1031746031746032,-0.35714285714285715,16,0.048127181907253125,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-11.0,-12.0,1.0,3.0,330.0,-0.06043956043956045,0.5,17,0.7662595947911103,1
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-41.0,-35.0,-6.0,1.0,120.0,-0.1453900709219858,0.19999999999999996,18,0.10821650990499324,0
5ba7dd466e30169f,900.0,Ronaldo Rodriguez,Kevin Borjas,-21.0,-21.0,0.0,3.0,140.0,-0.06862745098039214,0.5,19,0.3961239378515231,0
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-11.0,-11.0,0.0,1.0,160.0,-0.05339805825242716,0.21052631578947367,0,0.5592146575216619,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,28.0,26.0,2.0,5.0,470.00000000000006,0.1707317073170732,0.47959183673469385,1,0.9956617596670548,1
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-4.0,-10.0,6.0,-1.0,-200.0,-0.02564102564102566,-0.5,2,0.30332827373894033,0
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,-23.0,-11.0,-12.0,3.0,90.0,-0.08156028368794327,0.40909090909090906,3,0.21646614303191508,0
7e3fc760b26b6ae4,900.0,Rafa Garcia,Vinc Pichel,3.0,-14.0,17.0,2.0,570.0,0.024590163934426257,0.4253731343283582,4,0.9869055692925164,1
