fight_id,r_name,b_name,winner,method,red_win,sig_diff,kd_diff,td_diff,sub_diff,ctrl_diff,sig_only_p_red,sig_only_pred_red,sig_only_correct,sig_kd_p_red,sig_kd_pred_red,sig_kd_correct,sig_kd_td_p_red,sig_kd_td_pred_red,sig_kd_td_correct,sig_kd_td_ctrl_p_red,sig_kd_td_ctrl_pred_red,sig_kd_td_ctrl_correct,full_total_p_red,full_total_pred_red,full_total_correct,oracle_p_red,expected_p_red,mc_p_red,old_oracle_pred_red,old_oracle_correct,full_total_confidence
fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Decision - Unanimous,1.0,-4.0,0.0,3.0,0.0,79.0,0.5046778231236274,1,True,0.5078115977691591,1,True,0.7423151344194223,1,True,0.6374650123974815,1,True,0.6354860504961852,1,True,0.6166864806201973,0.9261714588147344,0.7509961498856862,1,True,0.6354860504961852
0eccebee160137b1,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Decision - Unanimous,0.0,6.0,0.0,-3.0,-3.0,-572.0,0.6587737648324883,1,False,0.6594605970531686,1,False,0.3862988959046676,0,True,0.1175721323328737,0,True,0.06520367753569664,0,True,0.1205421115171273,0.6117851779548671,0.5708881051448038,0,True,0.9347963224643033
11eb27a1ac74d225,Jim Miller,Chase Hooper,Chase Hooper,Decision - Unanimous,0.0,-8.0,0.0,-7.0,1.0,-509.0,0.4410412634985775,0,True,0.44507058290481977,0,True,0.051757468402650914,0,True,0.039261890423064424,0,True,0.04749080409298585,0,True,0.0161602355116495,0.0143696543471641,0.2630585345202832,0,True,0.9525091959070141
d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Decision - Unanimous,1.0,53.0,1.0,0.0,-1.0,40.0,0.974954847059342,1,True,0.9896871480816235,1,True,0.993183215698331,1,True,0.9943214757689707,1,True,0.9933406526861713,1,True,0.996757907027297,0.8411605546148495,0.7891976913709084,1,True,0.9933406526861713
e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Decision - Unanimous,1.0,95.0,-1.0,1.0,0.0,73.0,0.9982493673998819,1,True,0.9951355344333151,1,True,0.9977468758739699,1,True,0.9979669836039944,1,True,0.9980229698136902,1,True,0.986283354954214,0.9587684135804492,0.7935883938917462,1,True,0.9980229698136902
fd98843926965cbd,Sumudaerji,Mitch Raposo,Sumudaerji,Decision - Split,1.0,36.0,0.0,-6.0,0.0,-258.0,0.9292484942575894,1,True,0.9275613361275035,1,True,0.624317479433971,1,True,0.7342882424381028,1,True,0.7381933941938889,1,True,0.911987354863645,0.3420525209467087,0.3752845493030438,1,True,0.7381933941938889
4072abf0b0c179f2,Giga Chikadze,David Onama,David Onama,Decision - Unanimous,0.0,-6.0,0.0,-3.0,0.0,-375.0,0.472748859321165,0,True,0.47634777691484215,0,True,0.21519175397912785,0,True,0.11202550083214217,0,True,0.11062145709282452,0,True,0.0622155514953844,0.5274444223322906,0.4315512234681374,0,True,0.8893785429071754
633f4b5ec767769d,Ian Machado Garry,Carlos Prates,Ian Machado Garry,Decision - Unanimous,1.0,63.0,0.0,4.0,0.0,83.0,0.9866240860517046,1,True,0.9859343393903538,1,True,0.997686709048845,1,True,0.99553213482012,1,True,0.9956483986214251,1,True,0.9603542266889116,0.867312831046409,0.8495095854031598,1,True,0.9956483986214251
6f3cb7ce84185dd3,Chris Gutierrez,John Castaneda,Chris Gutierrez,Decision - Split,1.0,5.0,1.0,-1.0,0.0,-251.0,0.6442645754337135,1,True,0.823713787613411,1,True,0.7839044908172902,1,True,0.6247340254742071,1,True,0.6281723619992302,1,True,0.3536831796098554,0.825637330350227,0.7912313492882046,0,False,0.6281723619992302
7d51649373d42571,Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,Decision - Unanimous,1.0,64.0,0.0,0.0,0.0,-18.0,0.9874418250773025,1,True,0.9867813215841406,1,True,0.9906259316858183,1,True,0.990267135226749,1,True,0.9905692128195721,1,True,0.9831860424779728,0.704429909303877,0.7906043674852372,1,True,0.9905692128195721
