fight_id,red_name,blue_name,duration,red_win,winner_name,method,oracle_p_red,expected_p_red,mc_p_red,mc_red_win_path_share,paths,oracle_pick,expected_pick,mc_pick,mc_correct,mc_confidence
633f4b5ec767769d,Ian Machado Garry,Carlos Prates,1500.0,1,Ian Machado Garry,Decision - Unanimous,0.9603542266889117,0.867312831046409,0.8495095854031598,0.95,20,Ian Machado Garry,Ian Machado Garry,Ian Machado Garry,True,0.8495095854031598
6f3cb7ce84185dd3,Chris Gutierrez,John Castaneda,900.0,1,Chris Gutierrez,Decision - Split,0.35368317960985546,0.825637330350227,0.7912313492882046,0.95,20,John Castaneda,Chris Gutierrez,Chris Gutierrez,True,0.7912313492882046
7d51649373d42571,Da'Mon Blackshear,Alatengheili,900.0,1,Da'Mon Blackshear,Decision - Unanimous,0.9831860424779729,0.704429909303877,0.7906043674852372,0.85,20,Da'Mon Blackshear,Da'Mon Blackshear,Da'Mon Blackshear,True,0.7906043674852372
97770b38df67b276,Evan Elder,Gauge Young,900.0,1,Evan Elder,Decision - Unanimous,0.902203277629782,0.2406761313460339,0.43479142964906137,0.5,20,Evan Elder,Gauge Young,Gauge Young,False,0.5652085703509386
9bbd45774fb4a6eb,Michel Pereira,Abus Magomedov,900.0,0,Abus Magomedov,Decision - Unanimous,0.42423711248807,0.6838765442348229,0.5548641842654076,0.65,20,Abus Magomedov,Michel Pereira,Michel Pereira,False,0.5548641842654076
d8d22dcc1f6912e7,Matt Schnell,Jimmy Flick,900.0,1,Matt Schnell,Decision - Unanimous,0.835021818337694,0.49048157295371925,0.5734512054200653,0.6,20,Matt Schnell,Jimmy Flick,Matt Schnell,True,0.5734512054200653
2707dc2245335cc1,Yana Santos,Miesha Tate,900.0,1,Yana Santos,Decision - Unanimous,0.7305724475300421,0.22539465185521515,0.4241727099882455,0.35,20,Yana Santos,Miesha Tate,Miesha Tate,False,0.5758272900117545
469f887278324e63,Juliana Miller,Ivana Petrovic,900.0,1,Juliana Miller,Decision - Unanimous,0.8713003772826862,0.32195966237622015,0.3149125127883675,0.25,20,Juliana Miller,Ivana Petrovic,Ivana Petrovic,False,0.6850874872116325
5ce29056e0cd2df9,Montel Jackson,Daniel Marcos,900.0,1,Montel Jackson,Decision - Unanimous,0.7126099260289054,0.7526653475109837,0.7169551406608495,0.75,20,Montel Jackson,Montel Jackson,Montel Jackson,True,0.7169551406608495
6ccd10adc968e1f0,Cameron Smotherman,Serhiy Sidey,900.0,0,Serhiy Sidey,Decision - Unanimous,0.3072582040789888,0.6408349504272446,0.6372311306105619,0.7,20,Serhiy Sidey,Cameron Smotherman,Cameron Smotherman,False,0.6372311306105619
9039959b41901412,Jeremy Stephens,Mason Jones,900.0,0,Mason Jones,Decision - Unanimous,0.006739692563153212,0.27714187381965133,0.4115008421456027,0.4,20,Mason Jones,Mason Jones,Mason Jones,True,0.5884991578543973
c445401709421fa4,Thomas Petersen,Don'Tale Mayes,900.0,1,Thomas Petersen,Decision - Unanimous,0.9999633186372098,0.8286926120894461,0.7700002012057955,0.85,20,Thomas Petersen,Thomas Petersen,Thomas Petersen,True,0.7700002012057955
0e0a4282cd6c86d7,Daniel Santos,JeongYeong Lee,900.0,1,Daniel Santos,Decision - Unanimous,0.9845175954198564,0.818874805511768,0.660957811439725,0.7,20,Daniel Santos,Daniel Santos,Daniel Santos,True,0.660957811439725
0f53eb509d0ffeb9,Alexa Grasso,Natalia Silva,900.0,0,Natalia Silva,Decision - Unanimous,0.21970110374216512,0.13585199257540798,0.3839135240421885,0.3,20,Natalia Silva,Natalia Silva,Natalia Silva,True,0.6160864759578115
891b2faf1bff38ee,Jose Aldo,Aiemann Zahabi,900.0,0,Aiemann Zahabi,Decision - Unanimous,0.037166942659305036,0.6977289568448182,0.6448211007277803,0.65,20,Aiemann Zahabi,Jose Aldo,Jose Aldo,False,0.6448211007277803
99aa1f28e22bb6dd,Navajo Stirling,Ivan Erslan,900.0,1,Navajo Stirling,Decision - Unanimous,0.9985721605599684,0.7228396702060219,0.6497229499866715,0.65,20,Navajo Stirling,Navajo Stirling,Navajo Stirling,True,0.6497229499866715
9e9d1764a015f313,Valentina Shevchenko,Manon Fiorot,1500.0,1,Valentina Shevchenko,Decision - Unanimous,0.5193389875474204,0.6496411188244764,0.5852988146768852,0.55,20,Valentina Shevchenko,Valentina Shevchenko,Valentina Shevchenko,True,0.5852988146768852
b873c116e39c9920,Belal Muhammad,Jack Della Maddalena,1500.0,0,Jack Della Maddalena,Decision - Unanimous,0.2652489989600572,0.3785737703973694,0.5112170506855195,0.5,20,Jack Della Maddalena,Jack Della Maddalena,Belal Muhammad,False,0.5112170506855195
c812457a810dde39,Modestas Bukauskas,Ion Cutelaba,900.0,1,Modestas Bukauskas,Decision - Split,0.29687195094694263,0.14605492093974629,0.21658137953209816,0.15,20,Ion Cutelaba,Ion Cutelaba,Ion Cutelaba,False,0.7834186204679019
afdd95ae7b7cdb0c,Tecia Pennington,Luana Pinheiro,900.0,1,Tecia Pennington,Decision - Unanimous,0.785255851005078,0.6944458700267188,0.7712401948143224,0.9,20,Tecia Pennington,Tecia Pennington,Tecia Pennington,True,0.7712401948143224
b3044bf646306e7f,Dustin Stoltzfus,Nursulton Ruziboev,900.0,0,Nursulton Ruziboev,Decision - Unanimous,0.2792028421193041,0.5492977335662707,0.6372288815351299,0.65,20,Nursulton Ruziboev,Dustin Stoltzfus,Dustin Stoltzfus,False,0.6372288815351299
dcb27eef6441268c,Sodiq Yusuff,Mairon Santos,900.0,0,Mairon Santos,Decision - Unanimous,0.5203732971119822,0.5511471382162962,0.583109012504466,0.5,20,Sodiq Yusuff,Sodiq Yusuff,Sodiq Yusuff,False,0.583109012504466
fe2acfdaaaec3dba,Julian Erosa,Melquizael Costa,900.0,0,Melquizael Costa,Decision - Unanimous,0.2915129536839473,0.2560713791311968,0.4522475398274989,0.35,20,Melquizael Costa,Melquizael Costa,Melquizael Costa,True,0.5477524601725011
106918bfbe24335d,Ketlen Vieira,Macy Chiasson,900.0,1,Ketlen Vieira,Decision - Unanimous,0.9790533812066495,0.3731468448701716,0.4610670001304243,0.5,20,Ketlen Vieira,Macy Chiasson,Macy Chiasson,False,0.5389329998695758
212527d462690304,Mateusz Gamrot,Ludovit Klein,900.0,1,Mateusz Gamrot,Decision - Unanimous,0.9994573991799092,0.6970058403139076,0.5636327516148558,0.55,20,Mateusz Gamrot,Mateusz Gamrot,Mateusz Gamrot,True,0.5636327516148558
73240bea13ed5e71,Rayanne dos Santos,Alice Ardelean,900.0,0,Alice Ardelean,Decision - Unanimous,0.019320142864166518,0.5823588974277383,0.5881152509713327,0.55,20,Alice Ardelean,Rayanne dos Santos,Rayanne dos Santos,False,0.5881152509713327
baa2ee0bf7f97079,Jafel Filho,Allan Nascimento,900.0,0,Allan Nascimento,Decision - Unanimous,0.6369007835593298,0.3900724704673897,0.4580131987852856,0.4,20,Jafel Filho,Allan Nascimento,Allan Nascimento,True,0.5419868012147144
0e8599eca8ccfa32,MarQuel Mederos,Mark Choinski,900.0,1,MarQuel Mederos,Decision - Unanimous,0.9389537807249217,0.5658795238745703,0.5800224468726644,0.6,20,MarQuel Mederos,MarQuel Mederos,MarQuel Mederos,True,0.5800224468726644
2e4064e0e6d4d92e,Quillan Salkilld,Yanal Ashmouz,900.0,1,Quillan Salkilld,Decision - Unanimous,0.9961366050634604,0.5322039232444549,0.57794102683704,0.6,20,Quillan Salkilld,Quillan Salkilld,Quillan Salkilld,True,0.57794102683704
ac977a0389682124,Serghei Spivac,Waldo Cortes-Acosta,900.0,0,Waldo Cortes-Acosta,Decision - Unanimous,0.04067131343671908,0.5734510946918278,0.5251390412162436,0.6,20,Waldo Cortes-Acosta,Serghei Spivac,Serghei Spivac,False,0.5251390412162436
d078e9046aa86307,Ariane da Silva,Wang Cong,900.0,0,Wang Cong,Decision - Unanimous,0.01130853991338149,0.42206680466480534,0.41312252832231994,0.4,20,Wang Cong,Wang Cong,Wang Cong,True,0.5868774716776801
df5dac45fc585fb0,Mario Bautista,Patchy Mix,900.0,1,Mario Bautista,Decision - Unanimous,0.9495221448470464,0.8404639550004489,0.7879562977486194,0.85,20,Mario Bautista,Mario Bautista,Mario Bautista,True,0.7879562977486194
e28e829800466aca,Kelvin Gastelum,Joe Pyfer,900.0,0,Joe Pyfer,Decision - Unanimous,0.1272286890434074,0.34554470893751177,0.3367389731917537,0.3,20,Joe Pyfer,Joe Pyfer,Joe Pyfer,True,0.6632610268082463
f0488a4486a64af0,Khaos Williams,Andreas Gustafsson,900.0,0,Andreas Gustafsson,Decision - Unanimous,0.0005850519729180323,0.7033615861722401,0.6351188618640491,0.65,20,Andreas Gustafsson,Khaos Williams,Khaos Williams,False,0.6351188618640491
1714950933f88ab9,Cody Garbrandt,Raoni Barcelos,900.0,0,Raoni Barcelos,Decision - Unanimous,0.2679106255652984,0.4202525882784571,0.6096638071735293,0.6,20,Raoni Barcelos,Raoni Barcelos,Cody Garbrandt,False,0.6096638071735293
59c4fdb3c0673066,Ricky Simon,Cameron Smotherman,900.0,1,Ricky Simon,Decision - Unanimous,0.9793764182818653,0.8054975913517329,0.6773696828903092,0.75,20,Ricky Simon,Ricky Simon,Ricky Simon,True,0.6773696828903092
79dfbbdd14fbbd11,Rose Namajunas,Miranda Maverick,900.0,1,Rose Namajunas,Decision - Unanimous,0.8554856032316303,0.5665323581218548,0.5656204228622378,0.65,20,Rose Namajunas,Rose Namajunas,Rose Namajunas,True,0.5656204228622378
ab325ea526824723,Jamey-Lyn Horth,Vanessa Demopoulos,900.0,1,Jamey-Lyn Horth,Decision - Unanimous,0.9948616926882552,0.8730858713472438,0.7609151197439162,0.85,20,Jamey-Lyn Horth,Jamey-Lyn Horth,Jamey-Lyn Horth,True,0.7609151197439162
d75b3d3c2b209b75,Kamaru Usman,Joaquin Buckley,1500.0,1,Kamaru Usman,Decision - Unanimous,0.9452984552858309,0.5659587308256214,0.6587894383919267,0.65,20,Kamaru Usman,Kamaru Usman,Kamaru Usman,True,0.6587894383919267
e5bd7e6e2a50a843,Edmen Shahbazyan,Andre Petroski,900.0,1,Edmen Shahbazyan,Decision - Unanimous,0.8469644187131227,0.20549938043986254,0.28579161117161345,0.2,20,Edmen Shahbazyan,Andre Petroski,Andre Petroski,False,0.7142083888283866
e861e9cc0118c670,Michael Chiesa,Court McGee,900.0,1,Michael Chiesa,Decision - Unanimous,0.9311859378273244,0.2374533096385897,0.3747794347885084,0.4,20,Michael Chiesa,Court McGee,Court McGee,False,0.6252205652114916
ec2034b134ae71cd,Alonzo Menifield,Oumar Sy,900.0,1,Alonzo Menifield,Decision - Unanimous,0.1815289505747549,0.4157016730434667,0.47154370030568193,0.45,20,Oumar Sy,Oumar Sy,Oumar Sy,False,0.5284562996943181
03bc32bdb5a33496,Jamahal Hill,Khalil Rountree Jr.,1500.0,0,Khalil Rountree Jr.,Decision - Unanimous,0.2185322222570985,0.8878250389834615,0.770676282269687,0.8,20,Khalil Rountree Jr.,Jamahal Hill,Jamahal Hill,False,0.770676282269687
19764211af05674c,Muhammad Naimov,Bogdan Grad,900.0,1,Muhammad Naimov,Decision - Unanimous,0.10738694065141226,0.4415789958255083,0.4663907125667772,0.45,20,Bogdan Grad,Bogdan Grad,Bogdan Grad,False,0.5336092874332228
2bfc0212f2cae65b,Irina Alekseeva,Klaudia Sygula,900.0,0,Klaudia Sygula,Decision - Unanimous,0.07347836804634493,0.42097056413040407,0.56412546223771,0.6,20,Klaudia Sygula,Klaudia Sygula,Irina Alekseeva,False,0.56412546223771
5fcf18bcd2a020f1,Ismail Naurdiev,JunYong Park,900.0,0,JunYong Park,Decision - Unanimous,0.6525329598663406,0.7718428925456486,0.6766250162809269,0.7,20,Ismail Naurdiev,Ismail Naurdiev,Ismail Naurdiev,False,0.6766250162809269
8c140756bf43dcc2,Tagir Ulanbekov,Azat Maksum,900.0,1,Tagir Ulanbekov,Decision - Unanimous,0.6817983282771748,0.7673476098390483,0.736229410476979,0.8,20,Tagir Ulanbekov,Tagir Ulanbekov,Tagir Ulanbekov,True,0.736229410476979
8e5744c664fec3e9,Curtis Blaydes,Rizvan Kuniev,900.0,1,Curtis Blaydes,Decision - Split,0.8723824258547644,0.9777376236048989,0.8447808899815886,0.9,20,Curtis Blaydes,Curtis Blaydes,Curtis Blaydes,True,0.8447808899815886
