fight_id,path,side,fighter_name,duration,control_hit_cap,final_td_control_shift,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_qualified_control_inflicted_seconds
0f20c1d7c44fa5fe,16,blue,Vince Morales,900.0,0.0,1.0407594326326643,57.0,22.0,1.0,1.0,12.0,9.0,0.0,0.0,30.0
0f20c1d7c44fa5fe,17,red,Raul Rosas Jr.,900.0,0.0,2.7753584870204375,21.0,10.0,2.0,1.0,63.0,43.0,15.0,8.0,210.0
0f20c1d7c44fa5fe,17,blue,Vince Morales,900.0,0.0,2.7753584870204375,42.0,14.0,7.0,5.0,0.0,0.0,0.0,0.0,20.0
0f20c1d7c44fa5fe,18,red,Raul Rosas Jr.,900.0,0.0,2.0815188652653283,90.0,43.0,8.0,4.0,7.0,4.0,10.0,6.0,560.0
0f20c1d7c44fa5fe,18,blue,Vince Morales,900.0,0.0,2.0815188652653283,122.0,38.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0
0f20c1d7c44fa5fe,19,red,Raul Rosas Jr.,900.0,0.0,4.509957541408212,92.0,41.0,0.0,0.0,23.0,15.0,30.0,13.0,860.0
0f20c1d7c44fa5fe,19,blue,Vince Morales,900.0,0.0,4.509957541408212,31.0,14.0,3.0,2.0,4.0,2.0,0.0,0.0,40.0
33e301872e2b5680,0,red,Brandon Moreno,1500.0,0.0,2.7753584870204375,201.0,76.0,7.0,4.0,4.0,3.0,20.0,9.0,140.0
33e301872e2b5680,0,blue,Steve Erceg,1500.0,0.0,2.7753584870204375,263.0,107.0,0.0,0.0,0.0,0.0,7.0,1.0,10.0
33e301872e2b5680,1,red,Brandon Moreno,1500.0,0.0,0.0,181.0,71.0,3.0,3.0,0.0,0.0,0.0,0.0,380.0
33e301872e2b5680,1,blue,Steve Erceg,1500.0,0.0,0.0,122.0,51.0,12.0,9.0,0.0,0.0,0.0,0.0,100.0
33e301872e2b5680,2,red,Brandon Moreno,1500.0,0.0,0.34691981087755475,281.0,133.0,12.0,9.0,0.0,0.0,4.0,1.0,60.0
33e301872e2b5680,2,blue,Steve Erceg,1500.0,0.0,0.34691981087755475,169.0,72.0,27.0,17.0,0.0,0.0,0.0,0.0,30.0
33e301872e2b5680,3,red,Brandon Moreno,1500.0,0.0,1.387679243510219,100.0,44.0,1.0,0.0,19.0,16.0,11.0,5.0,160.0
33e301872e2b5680,3,blue,Steve Erceg,1500.0,0.0,1.387679243510219,203.0,87.0,2.0,0.0,0.0,0.0,2.0,1.0,40.0
33e301872e2b5680,4,red,Brandon Moreno,1500.0,0.0,3.122278297897992,318.0,143.0,2.0,2.0,1.0,1.0,22.0,9.0,570.0
33e301872e2b5680,4,blue,Steve Erceg,1500.0,0.0,3.122278297897992,225.0,93.0,7.0,5.0,0.0,0.0,3.0,0.0,60.0
33e301872e2b5680,5,red,Brandon Moreno,1500.0,0.0,0.6938396217551095,67.0,29.0,6.0,3.0,12.0,9.0,8.0,2.0,180.0
33e301872e2b5680,5,blue,Steve Erceg,1500.0,0.0,0.6938396217551095,593.0,239.0,15.0,10.0,0.0,0.0,3.0,0.0,90.0
33e301872e2b5680,6,red,Brandon Moreno,1500.0,0.0,0.34691981087755475,185.0,85.0,7.0,6.0,0.0,0.0,6.0,1.0,260.0
33e301872e2b5680,6,blue,Steve Erceg,1500.0,0.0,0.34691981087755475,220.0,77.0,15.0,11.0,0.0,0.0,0.0,0.0,140.0
33e301872e2b5680,7,red,Brandon Moreno,1500.0,0.0,0.34691981087755475,176.0,66.0,18.0,9.0,0.0,0.0,5.0,1.0,170.0
33e301872e2b5680,7,blue,Steve Erceg,1500.0,0.0,0.34691981087755475,185.0,76.0,3.0,1.0,22.0,18.0,0.0,0.0,80.0
33e301872e2b5680,8,red,Brandon Moreno,1500.0,0.0,1.0407594326326643,357.0,141.0,12.0,6.0,0.0,0.0,12.0,3.0,290.0
33e301872e2b5680,8,blue,Steve Erceg,1500.0,0.0,1.0407594326326643,213.0,77.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0
33e301872e2b5680,9,red,Brandon Moreno,1500.0,0.0,0.34691981087755475,366.0,161.0,2.0,0.0,0.0,0.0,4.0,2.0,390.0
33e301872e2b5680,9,blue,Steve Erceg,1500.0,0.0,0.34691981087755475,347.0,133.0,2.0,1.0,0.0,0.0,6.0,1.0,70.0
33e301872e2b5680,10,red,Brandon Moreno,1500.0,0.0,1.0407594326326643,226.0,85.0,12.0,7.0,16.0,11.0,6.0,3.0,200.0
33e301872e2b5680,10,blue,Steve Erceg,1500.0,0.0,1.0407594326326643,327.0,132.0,6.0,4.0,0.0,0.0,3.0,0.0,40.0
33e301872e2b5680,11,red,Brandon Moreno,1500.0,0.0,-1.1102230246251565e-16,197.0,80.0,4.0,4.0,0.0,0.0,10.0,5.0,460.0
33e301872e2b5680,11,blue,Steve Erceg,1500.0,0.0,-1.1102230246251565e-16,129.0,51.0,0.0,0.0,24.0,18.0,15.0,5.0,170.0
33e301872e2b5680,12,red,Brandon Moreno,1500.0,0.0,0.0,218.0,102.0,3.0,2.0,7.0,6.0,6.0,2.0,230.0
33e301872e2b5680,12,blue,Steve Erceg,1500.0,0.0,0.0,475.0,182.0,15.0,11.0,7.0,6.0,5.0,2.0,80.0
33e301872e2b5680,13,red,Brandon Moreno,1500.0,0.0,0.0,191.0,84.0,0.0,0.0,0.0,0.0,14.0,1.0,30.0
33e301872e2b5680,13,blue,Steve Erceg,1500.0,0.0,0.0,378.0,148.0,38.0,30.0,0.0,0.0,4.0,1.0,20.0
33e301872e2b5680,14,red,Brandon Moreno,1500.0,0.0,0.0,97.0,44.0,19.0,15.0,17.0,13.0,0.0,0.0,240.0
33e301872e2b5680,14,blue,Steve Erceg,1500.0,0.0,0.0,112.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
