fight_id,path,side,fighter_name,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_qualified_control_inflicted_seconds,grappling_latent,pred_td_attempted,pred_ground_attempted,pred_qualified_control_inflicted_seconds
0f20c1d7c44fa5fe,13,red,Raul Rosas Jr.,83.0,33.0,6.0,2.0,12.0,10.0,24.0,8.0,119.14502578382405,-0.6347998722750795,21.476448342209146,25.507747067397815,774.8770432544263
0f20c1d7c44fa5fe,13,blue,Vince Morales,75.0,31.0,7.0,5.0,2.0,2.0,0.0,0.0,0.0,-1.3563623602826085,1.3651563986486124,5.101005243285138,71.73627110740262
0f20c1d7c44fa5fe,14,red,Raul Rosas Jr.,67.0,29.0,2.0,1.0,17.0,9.0,19.0,9.0,169.5635451283732,-0.31962158218552156,21.476448342209146,25.507747067397815,774.8770432544263
0f20c1d7c44fa5fe,14,blue,Vince Morales,89.0,31.0,9.0,8.0,4.0,3.0,1.0,0.0,0.0,-0.26098908832367107,1.3651563986486124,5.101005243285138,71.73627110740262
0f20c1d7c44fa5fe,15,red,Raul Rosas Jr.,85.0,29.0,5.0,5.0,27.0,19.0,15.0,4.0,658.7257252413431,0.12964143912384,21.476448342209146,25.507747067397815,774.8770432544263
0f20c1d7c44fa5fe,15,blue,Vince Morales,79.0,27.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,-0.7352575693484638,1.3651563986486124,5.101005243285138,71.73627110740262
0f20c1d7c44fa5fe,16,red,Raul Rosas Jr.,87.0,42.0,5.0,3.0,8.0,6.0,21.0,5.0,47.69361560165993,-0.6456453432295438,21.476448342209146,25.507747067397815,774.8770432544263
0f20c1d7c44fa5fe,16,blue,Vince Morales,74.0,29.0,8.0,5.0,7.0,5.0,0.0,0.0,0.0,0.33425488652863145,1.3651563986486124,5.101005243285138,71.73627110740262
0f20c1d7c44fa5fe,17,red,Raul Rosas Jr.,75.0,34.0,1.0,1.0,3.0,3.0,12.0,4.0,0.0,-1.9786550326356627,21.476448342209146,25.507747067397815,774.8770432544263
0f20c1d7c44fa5fe,17,blue,Vince Morales,83.0,26.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,-1.7079937599540174,1.3651563986486124,5.101005243285138,71.73627110740262
0f20c1d7c44fa5fe,18,red,Raul Rosas Jr.,64.0,28.0,5.0,4.0,28.0,22.0,28.0,10.0,570.5939802523617,0.6806725339413809,21.476448342209146,25.507747067397815,774.8770432544263
0f20c1d7c44fa5fe,18,blue,Vince Morales,81.0,35.0,5.0,4.0,3.0,2.0,4.0,1.0,0.0,0.28433489846007026,1.3651563986486124,5.101005243285138,71.73627110740262
0f20c1d7c44fa5fe,19,red,Raul Rosas Jr.,92.0,38.0,8.0,4.0,28.0,22.0,20.0,7.0,746.7184934801563,0.43614583300405574,21.476448342209146,25.507747067397815,774.8770432544263
0f20c1d7c44fa5fe,19,blue,Vince Morales,83.0,24.0,6.0,4.0,8.0,7.0,1.0,1.0,0.0,1.0420533418299567,1.3651563986486124,5.101005243285138,71.73627110740262
33e301872e2b5680,0,red,Brandon Moreno,192.0,84.0,8.0,4.0,9.0,5.0,3.0,1.0,227.3742390891284,0.21711245206095062,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,0,blue,Steve Erceg,237.0,94.0,10.0,6.0,6.0,6.0,3.0,0.0,0.0,0.38985422395761027,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,1,red,Brandon Moreno,206.0,76.0,7.0,5.0,11.0,7.0,10.0,4.0,109.31029970542242,-0.24135024237529498,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,1,blue,Steve Erceg,251.0,94.0,13.0,10.0,9.0,9.0,7.0,0.0,64.76885697469979,0.5416573595673101,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,2,red,Brandon Moreno,189.0,84.0,9.0,7.0,15.0,11.0,8.0,3.0,513.7486242142843,1.0643449535262268,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,2,blue,Steve Erceg,253.0,98.0,12.0,9.0,18.0,15.0,1.0,0.0,162.81286913407322,1.2815451943227738,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,3,red,Brandon Moreno,201.0,100.0,5.0,4.0,3.0,3.0,3.0,2.0,0.0,-1.2064801585544547,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,3,blue,Steve Erceg,238.0,98.0,6.0,4.0,9.0,5.0,9.0,5.0,295.2963864116994,1.0062472920763712,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,4,red,Brandon Moreno,194.0,86.0,3.0,3.0,16.0,11.0,12.0,2.0,596.4998611323608,1.2617626475264772,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,4,blue,Steve Erceg,260.0,117.0,10.0,8.0,8.0,6.0,2.0,1.0,0.0,0.10665237602706545,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,5,red,Brandon Moreno,209.0,95.0,9.0,6.0,1.0,1.0,5.0,1.0,0.0,-1.9425425998800474,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,5,blue,Steve Erceg,248.0,101.0,13.0,7.0,9.0,8.0,5.0,1.0,225.67182334658224,1.787601946456723,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,6,red,Brandon Moreno,197.0,96.0,10.0,7.0,7.0,7.0,7.0,2.0,118.36234158305972,0.00836567356872251,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,6,blue,Steve Erceg,268.0,100.0,6.0,6.0,8.0,7.0,6.0,0.0,208.5679601533082,0.6978617933829051,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,7,red,Brandon Moreno,199.0,80.0,8.0,4.0,5.0,5.0,9.0,3.0,174.75054934491072,-0.260768109159337,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,7,blue,Steve Erceg,252.0,112.0,5.0,4.0,8.0,5.0,5.0,1.0,102.23505702844353,1.1555320728738558,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,8,red,Brandon Moreno,206.0,86.0,8.0,7.0,16.0,11.0,4.0,2.0,202.96647663438952,1.410799119923606,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,8,blue,Steve Erceg,264.0,99.0,12.0,11.0,6.0,5.0,5.0,0.0,109.23643982417846,0.7735229214384325,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,9,red,Brandon Moreno,213.0,88.0,6.0,5.0,13.0,10.0,11.0,4.0,354.04085255989025,1.457881648631091,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,9,blue,Steve Erceg,235.0,88.0,15.0,15.0,9.0,7.0,4.0,0.0,87.46734107117925,0.4905229656355328,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,10,red,Brandon Moreno,213.0,80.0,3.0,1.0,15.0,11.0,9.0,3.0,127.73981110582791,0.4474561756657503,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,10,blue,Steve Erceg,236.0,94.0,11.0,8.0,14.0,9.0,5.0,1.0,337.19059136073946,1.0165628138830833,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,11,red,Brandon Moreno,201.0,82.0,9.0,6.0,8.0,5.0,8.0,2.0,0.0,0.20571218949811826,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,11,blue,Steve Erceg,244.0,108.0,9.0,5.0,5.0,3.0,1.0,0.0,0.0,-0.8177643626352449,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,12,red,Brandon Moreno,223.0,95.0,10.0,4.0,8.0,6.0,9.0,2.0,109.87740295116939,0.17902850744654336,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,12,blue,Steve Erceg,236.0,90.0,8.0,7.0,11.0,9.0,6.0,2.0,155.012239284904,1.2157259067667774,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,13,red,Brandon Moreno,212.0,90.0,9.0,6.0,4.0,3.0,13.0,1.0,0.0,0.013960944651934449,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,13,blue,Steve Erceg,239.0,97.0,9.0,5.0,5.0,4.0,3.0,0.0,47.58751870035271,0.5975010547690549,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,14,red,Brandon Moreno,221.0,93.0,4.0,3.0,7.0,5.0,8.0,5.0,0.0,-1.022167806450369,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,14,blue,Steve Erceg,220.0,84.0,13.0,7.0,3.0,2.0,3.0,2.0,70.68941220516909,-0.006749382240733821,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,15,red,Brandon Moreno,183.0,96.0,8.0,6.0,10.0,9.0,8.0,2.0,195.47298565443867,-0.049101478320039665,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,15,blue,Steve Erceg,237.0,94.0,12.0,11.0,14.0,10.0,5.0,1.0,258.03078048097274,1.442139587173987,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,16,red,Brandon Moreno,188.0,84.0,5.0,5.0,3.0,2.0,10.0,1.0,79.17071568194227,-0.30561077300360695,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,16,blue,Steve Erceg,232.0,86.0,5.0,1.0,7.0,5.0,3.0,0.0,0.0,-0.4724405896601458,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,17,red,Brandon Moreno,188.0,73.0,12.0,9.0,2.0,2.0,8.0,3.0,86.01871670794579,-0.4464053322380915,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,17,blue,Steve Erceg,242.0,98.0,3.0,2.0,4.0,4.0,1.0,1.0,0.0,-0.5349155901181277,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,18,red,Brandon Moreno,222.0,86.0,13.0,7.0,8.0,7.0,7.0,4.0,0.0,-0.843056237675422,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,18,blue,Steve Erceg,257.0,101.0,8.0,7.0,10.0,9.0,5.0,0.0,178.17448174020737,0.6449242125634441,3.360993025623167,6.6586645737692205,79.90318989836707
33e301872e2b5680,19,red,Brandon Moreno,223.0,77.0,4.0,4.0,4.0,3.0,3.0,2.0,0.0,-1.2954859718693645,7.034472215512766,8.855916805836525,190.72407027830988
33e301872e2b5680,19,blue,Steve Erceg,224.0,86.0,6.0,6.0,10.0,9.0,5.0,0.0,0.0,0.7487337166386744,3.360993025623167,6.6586645737692205,79.90318989836707
41cdbcc0f3635b8f,0,red,Christian Rodriguez,57.0,33.0,4.0,3.0,16.0,9.0,0.0,0.0,0.0,-0.1826942081360018,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,0,blue,Melquizael Costa,79.0,29.0,6.0,3.0,3.0,1.0,8.0,1.0,206.92190497116658,-0.17025744776161972,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,1,red,Christian Rodriguez,73.0,45.0,9.0,9.0,10.0,7.0,3.0,3.0,169.25787586420554,-0.6281608132608817,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,1,blue,Melquizael Costa,70.0,29.0,4.0,4.0,3.0,0.0,7.0,1.0,36.67616310283578,-0.0007746651662093268,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,2,red,Christian Rodriguez,76.0,25.0,5.0,5.0,15.0,12.0,3.0,1.0,0.0,-0.3491029796677583,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,2,blue,Melquizael Costa,75.0,29.0,5.0,4.0,6.0,6.0,18.0,6.0,147.27358696069277,0.21787627121922842,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,3,red,Christian Rodriguez,76.0,37.0,8.0,7.0,16.0,11.0,5.0,3.0,163.79951314215265,0.18075669946893494,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,3,blue,Melquizael Costa,70.0,29.0,9.0,5.0,1.0,0.0,7.0,0.0,0.0,-1.5213748367874318,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,4,red,Christian Rodriguez,78.0,41.0,9.0,7.0,18.0,12.0,3.0,1.0,28.777511995667606,0.1575301332344058,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,4,blue,Melquizael Costa,90.0,28.0,8.0,3.0,2.0,2.0,5.0,1.0,0.0,-1.3058456460066692,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,5,red,Christian Rodriguez,69.0,38.0,7.0,7.0,21.0,16.0,6.0,3.0,123.39534631578354,0.6640224555776264,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,5,blue,Melquizael Costa,72.0,31.0,10.0,6.0,2.0,1.0,4.0,1.0,0.0,-2.8850540473217925,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,6,red,Christian Rodriguez,69.0,27.0,12.0,11.0,10.0,5.0,3.0,2.0,81.09551532452988,-0.26819970087739187,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,6,blue,Melquizael Costa,77.0,29.0,9.0,7.0,3.0,2.0,4.0,1.0,167.8201484740495,-0.7796193859208146,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,7,red,Christian Rodriguez,63.0,31.0,11.0,9.0,28.0,19.0,8.0,5.0,162.22680094894827,0.915352744166372,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,7,blue,Melquizael Costa,76.0,39.0,6.0,6.0,13.0,5.0,20.0,9.0,737.7731990510516,2.0719579246202087,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,8,red,Christian Rodriguez,58.0,25.0,8.0,7.0,19.0,14.0,2.0,2.0,620.8647571395867,0.37598671243238957,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,8,blue,Melquizael Costa,70.0,20.0,9.0,6.0,9.0,7.0,10.0,4.0,37.36631479847912,0.41977576800891236,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,9,red,Christian Rodriguez,62.0,30.0,10.0,6.0,18.0,9.0,4.0,2.0,123.62937184692038,0.6836338362907998,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,9,blue,Melquizael Costa,80.0,35.0,8.0,8.0,1.0,1.0,5.0,2.0,113.93289807525363,-0.3556838760391747,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,10,red,Christian Rodriguez,81.0,36.0,8.0,6.0,13.0,9.0,2.0,1.0,306.6020922805663,0.11582798416042318,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,10,blue,Melquizael Costa,85.0,32.0,10.0,5.0,4.0,1.0,10.0,2.0,423.0702368574822,0.29797702283674365,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,11,red,Christian Rodriguez,72.0,25.0,6.0,5.0,45.0,30.0,3.0,2.0,900.0,2.131692115519758,3.640719647452271,16.225591527502903,263.4162825113067
41cdbcc0f3635b8f,11,blue,Melquizael Costa,90.0,40.0,9.0,9.0,8.0,7.0,22.0,9.0,0.0,0.5085147774885176,9.097393348570096,5.453090952582682,380.6940391529581
41cdbcc0f3635b8f,12,red,Christian Rodriguez,65.0,29.0,5.0,5.0,14.0,10.0,1.0,1.0,266.232567738129,0.49476056837553717,3.640719647452271,16.225591527502903,263.4162825113067
