fight_id,event_date,side,fighter_name,opponent_name,duration,scheduled_rounds,fighter_age,opponent_age,self_standing_striking_tendency,opp_standing_striking_tendency,self_standing_striking_suppression,opp_standing_striking_suppression,self_standing_striking_offense,opp_standing_striking_offense,self_standing_striking_defense,opp_standing_striking_defense,self_standing_accuracy_baseline,opp_standing_accuracy_baseline,self_takedown_tendency,opp_takedown_tendency,self_takedown_suppression,opp_takedown_suppression,self_takedown_offense,opp_takedown_offense,self_takedown_defense,opp_takedown_defense,self_takedown_completion_baseline,opp_takedown_completion_baseline,self_escape_offense,opp_escape_offense,self_escape_defense,opp_escape_defense,self_escape_population_mean_seconds,opp_escape_population_mean_seconds,self_ground_striking_tendency,opp_ground_striking_tendency,self_ground_striking_suppression,opp_ground_striking_suppression,self_ground_striking_offense,opp_ground_striking_offense,self_ground_striking_defense,opp_ground_striking_defense,self_ground_accuracy_baseline,opp_ground_accuracy_baseline,self_submission_tendency,opp_submission_tendency,self_submission_suppression,opp_submission_suppression,self_submission_offense,opp_submission_offense,self_submission_defense,opp_submission_defense,effective_standing_rate,effective_td_rate,effective_ground_rate,td_completion_matchup,standing_accuracy_matchup,ground_accuracy_matchup,retention_mean_base,successful_td_pressure,control_pressure,age_edge,distance_attempted,distance_landed,clinch_attempted,clinch_landed,ground_attempted,ground_landed,td_attempted,td_landed,qualified_control_inflicted_seconds,ground_entries,raw_pred_distance_attempted,raw_pred_distance_landed,raw_pred_clinch_attempted,raw_pred_clinch_landed,raw_pred_ground_attempted,raw_pred_ground_landed,raw_pred_td_attempted,raw_pred_td_landed,raw_pred_qualified_control_inflicted_seconds,pred_distance_attempted,pred_distance_landed,pred_clinch_attempted,pred_clinch_landed,pred_ground_attempted,pred_ground_landed,pred_td_attempted,pred_td_landed,pred_qualified_control_inflicted_seconds,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_qualified_control_inflicted_seconds,sim_control_episodes,standing_attempted,pred_standing_attempted,sim_standing_attempted,standing_landed,pred_standing_landed,sim_standing_landed
0f20c1d7c44fa5fe,2025-03-29,red,Raul Rosas Jr.,Vince Morales,900.0,3.0,20.471330691253073,34.3771603797477,0.1835356382791705,0.18392312750736212,-0.0012507982875559754,0.013546445689965948,-0.06804387070337328,-0.05767096042065237,0.034523801673620416,-0.15222151811032963,0.3987765987779147,0.3987765987779147,0.024574669187145556,0.0019299696719051558,0.002525232669747158,-0.0006107553243837998,-0.061605963353680404,-0.021766962732260753,-0.24168505264594597,-0.06888266192795522,0.36577370860178593,0.36577370860178593,-0.2672914886755456,0.43843356845536874,-0.024814929170006536,-0.2555936175512111,74.28463181448332,74.28463181448332,0.019918179240075537,0.023227269720854857,0.0008948441002505811,0.010335523969958283,-0.00507933399687209,0.005258556432113764,-0.02183365253911788,-0.02694296375194377,0.7059162989768806,0.7059162989768806,0.0015562830820071852,0.00043722409380967124,0.8617236024981526,0.5368472942007131,0.04762754514938847,-0.0364218534211303,0.014501415403423742,0.01463282847987696,0.16998919258920456,0.025185424511529355,0.009582655270117254,0.4090482899559774,0.4191198401312722,0.710434633355238,46.742583108389134,0.01030205482825644,0.4815446539969582,-13.905829688494627,34,16,0,0,5,4,8,4,578.0,4,51.307956910306295,19.91461914831197,3.3899489347434684,2.1771444541601257,7.428857089940756,5.685527585864686,21.078836509825546,4.724370482998206,852.7301946336113,51.307956910306295,19.91461914831197,3.3899489347434684,2.1771444541601257,7.428857089940756,5.685527585864686,21.078836509825546,4.724370482998206,852.7301946336113,52.25,21.65,4.25,2.7,7.0,4.8,21.5,5.15,787.5854582708714,11.2,34,54.69790584504976,56.5,16,22.091763602472096,24.349999999999998
0f20c1d7c44fa5fe,2025-03-29,blue,Vince Morales,Raul Rosas Jr.,900.0,3.0,34.3771603797477,20.471330691253073,0.18392312750736212,0.1835356382791705,0.013546445689965948,-0.0012507982875559754,-0.05767096042065237,-0.06804387070337328,-0.15222151811032963,0.034523801673620416,0.3987765987779147,0.3987765987779147,0.0019299696719051558,0.024574669187145556,-0.0006107553243837998,0.002525232669747158,-0.021766962732260753,-0.061605963353680404,-0.06888266192795522,-0.24168505264594597,0.36577370860178593,0.36577370860178593,0.43843356845536874,-0.2672914886755456,-0.2555936175512111,-0.024814929170006536,74.28463181448332,74.28463181448332,0.023227269720854857,0.019918179240075537,0.010335523969958283,0.0008948441002505811,0.005258556432113764,-0.00507933399687209,-0.02694296375194377,-0.02183365253911788,0.7059162989768806,0.7059162989768806,0.00043722409380967124,0.0015562830820071852,0.5368472942007131,0.8617236024981526,-0.0364218534211303,0.04762754514938847,0.01463282847987696,0.014501415403423742,0.1851739257949181,0.0,0.022332425620604276,0.3986819312860534,0.37689228136935704,0.7115090577627424,75.15870630196784,0.0,0.0,13.905829688494627,30,16,0,0,1,1,1,1,134.0,2,51.45577864420126,17.706371901139896,2.3336445207459793,1.408800536422425,1.9863756159064043,1.5218408906560206,0.3517729626172158,0.048042609748517574,18.346346616586278,51.45577864420126,17.706371901139896,2.3336445207459793,1.408800536422425,1.9863756159064043,1.5218408906560206,0.3517729626172158,0.048042609748517574,18.346346616586278,53.3,17.95,2.3,1.3,1.6,1.2,0.4,0.05,16.145218144924137,0.2,30,53.78942316494724,55.599999999999994,16,19.11517243756232,19.25
33e301872e2b5680,2025-03-29,red,Brandon Moreno,Steve Erceg,1500.0,5.0,31.307966624913583,29.673436141741444,0.19020811202530868,0.19509595528970217,-0.008204680316538758,0.0005425961064218406,0.0246141081125163,0.008213311835965121,0.0760903860280233,0.027950265550835768,0.3987765987779147,0.3987765987779147,0.004087798809206434,0.005982367758186398,0.0005538271505036034,-0.0038332692285107804,0.23770634421926767,-0.30385629927084123,0.2916251967545529,-0.08509370587797371,0.36577370860178593,0.36577370860178593,0.26212675004279173,0.34288723651393205,-0.1282054689402459,-0.16542359291235317,74.28463181448332,74.28463181448332,0.029297343191197263,0.016063455583261072,0.0131219290569781,0.00025635956109452555,-0.019888753540700774,0.0352311427844229,-0.1384783150039911,0.034913905842973374,0.7059162989768806,0.7059162989768806,0.0007801023564093512,0.000552475788333426,0.2454473678012866,0.493196530866589,0.04781549714695527,-0.028666439970048446,0.014435551264202926,0.0,0.18966551591888683,0.007921068037717215,0.029040983630102737,0.43741943806280964,0.39797701303727767,0.6944124107029067,46.37735889209406,0.003464829129915546,0.16068962405787526,1.6345304831721386,174,87,2,2,0,0,5,1,58.0,1,178.18367997707054,69.41223356571665,3.759346215184132,2.335480674425021,2.1805788294285913,1.765145697319718,5.201816366264781,1.716414835862492,67.46191333016455,178.18367997707054,69.41223356571665,3.759346215184132,2.335480674425021,2.1805788294285913,1.765145697319718,5.201816366264781,1.716414835862492,67.46191333016455,180.95,70.0,3.25,2.05,2.35,2.0,6.2,1.95,63.8732278689243,0.75,176,181.94302619225468,184.2,89,71.74771424014168,72.05
33e301872e2b5680,2025-03-29,blue,Steve Erceg,Brandon Moreno,1500.0,5.0,29.673436141741444,31.307966624913583,0.19509595528970217,0.19020811202530868,0.0005425961064218406,-0.008204680316538758,0.008213311835965121,0.0246141081125163,0.027950265550835768,0.0760903860280233,0.3987765987779147,0.3987765987779147,0.005982367758186398,0.004087798809206434,-0.0038332692285107804,0.0005538271505036034,-0.30385629927084123,0.23770634421926767,-0.08509370587797371,0.2916251967545529,0.36577370860178593,0.36577370860178593,0.34288723651393205,0.26212675004279173,-0.16542359291235317,-0.1282054689402459,74.28463181448332,74.28463181448332,0.016063455583261072,0.029297343191197263,0.00025635956109452555,0.0131219290569781,0.0352311427844229,-0.019888753540700774,0.034913905842973374,-0.1384783150039911,0.7059162989768806,0.7059162989768806,0.000552475788333426,0.0007801023564093512,0.493196530866589,0.2454473678012866,-0.028666439970048446,0.04781549714695527,0.0,0.014435551264202926,0.20330063560624093,0.005428540607682795,0.002941526526282972,0.2423446711074654,0.38262002122451966,0.7406484688967574,48.441348057738246,0.0013155778881624072,0.06372836637753941,-1.6345304831721386,278,115,1,1,0,0,0,0,0.0,0,220.5415301974093,84.64820655013436,4.8656703853118515,3.2719646849021253,1.6728781031772555,1.4008331099195888,2.6385233430912205,0.6725234002430175,22.597704705651314,220.5415301974093,84.64820655013436,4.8656703853118515,3.2719646849021253,1.6728781031772555,1.4008331099195888,2.6385233430912205,0.6725234002430175,22.597704705651314,223.45,86.5,4.75,2.85,1.9,1.65,2.85,0.7,18.43168010406082,0.2,279,225.40720058272115,228.2,116,87.92017123503649,89.35
41cdbcc0f3635b8f,2025-03-29,red,Christian Rodriguez,Melquizael Costa,900.0,3.0,27.28050541763349,28.537204733841214,0.2135729362212395,0.2217150954166503,0.0015286642718741186,0.04298070880384233,0.01648158803246566,0.025365653758875478,0.04960045131502279,-0.006703070551761538,0.3987765987779147,0.3987765987779147,0.004162812210915819,0.010505252626313157,-0.01017118473547829,-0.002034093079652898,0.37260564391815887,-0.09602356589268857,0.08307006214739587,-0.3580483108632714,0.36577370860178593,0.36577370860178593,-0.0511196438829339,-0.03886072193669411,0.017275228128832667,-0.04078422676868988,74.28463181448332,74.28463181448332,0.022423197653576345,0.01452930533092715,0.02468119329999139,0.0001761751154372216,0.06482844433407728,-0.03973532721346545,-0.00932393251908942,-0.053105767486952025,0.7059162989768806,0.7059162989768806,0.0011161155543227923,0.0012084881387806432,1.3212532705104365,1.5456312755615964,-0.012102759895751134,0.05201939765170018,0.017310007986124767,-0.00159664437636085,0.17059222741739716,0.006196905290568717,0.022247022538139122,0.557314237666348,0.40434803495817795,0.7297917894283699,78.57393594988027,0.003453623547903863,0.2713647954479964,-1.256699316207726,53,29,31,26,14,9,15,6,408.0,6,49.85405663602178,20.81230965968882,5.723128650073585,4.269706988996879,4.915431418850631,3.743590596517107,2.434675294374223,1.1838154454364525,144.61483396864386,49.85405663602178,20.81230965968882,5.723128650073585,4.269706988996879,4.915431418850631,3.743590596517107,2.434675294374223,1.1838154454364525,144.61483396864386,50.85,21.3,5.5,4.7,4.85,3.7,2.65,1.5,184.2236336985884,2.35,84,55.577185286095364,56.35,55,25.082016648685702,26.0
41cdbcc0f3635b8f,2025-03-29,blue,Melquizael Costa,Christian Rodriguez,900.0,3.0,28.537204733841214,27.28050541763349,0.2217150954166503,0.2135729362212395,0.04298070880384233,0.0015286642718741186,0.025365653758875478,0.01648158803246566,-0.006703070551761538,0.04960045131502279,0.3987765987779147,0.3987765987779147,0.010505252626313157,0.004162812210915819,-0.002034093079652898,-0.01017118473547829,-0.09602356589268857,0.37260564391815887,-0.3580483108632714,0.08307006214739587,0.36577370860178593,0.36577370860178593,-0.03886072193669411,-0.0511196438829339,-0.04078422676868988,0.017275228128832667,74.28463181448332,74.28463181448332,0.01452930533092715,0.022423197653576345,0.0001761751154372216,0.02468119329999139,-0.03973532721346545,0.06482844433407728,-0.053105767486952025,-0.00932393251908942,0.7059162989768806,0.7059162989768806,0.0012084881387806432,0.0011161155543227923,1.5456312755615964,1.3212532705104365,0.05201939765170018,-0.012102759895751134,-0.00159664437636085,0.017310007986124767,0.22018643114477618,0.020676437361791446,0.0,0.3312389714710611,0.3929807151309573,0.6995636477439504,75.0563757473403,0.006848841845405619,0.5140492469828717,1.256699316207726,47,19,23,17,35,29,2,1,293.0,3,57.62809346331473,21.116006821954542,5.334143232332028,3.6276561818034834,2.4392578075641564,1.903482495240953,9.934824267470997,2.561298448687971,280.5047474927533,57.62809346331473,21.116006821954542,5.334143232332028,3.6276561818034834,2.4392578075641564,1.903482495240953,9.934824267470997,2.561298448687971,280.5047474927533,57.6,19.75,4.8,3.3,3.15,2.45,9.45,2.45,253.0490798056399,3.3,70,62.96223669564675,62.4,36,24.743663003758027,23.05
55376d5c205fa844,2025-03-29,red,David Martinez,Saimon Oliveira,278.0,3.0,26.65352471303312,33.93909525862954,0.18859632976292162,0.21995275879599213,0.0,-0.01603217633439542,0.0,-0.011981863009218498,0.0,-0.10689797974984681,0.3987765987779147,0.3987765987779147,0.005507805915677403,0.00847457627118644,0.0,-0.0008901983815194286,0.0,-0.5813001986277657,0.0,-0.8068234524737892,0.36577370860178593,0.36577370860178593,0.0,0.15878992939308967,0.0,-0.27133201549947433,74.28463181448332,74.28463181448332,0.02846756948418381,0.01570865268900394,0.0,-0.011330154360705794,0.0,0.0,0.0,0.08349469680463621,0.7059162989768806,0.7059162989768806,0.0006036170108705959,0.0013941966144999031,1.0,0.8403354628822352,0.0,-0.04241886065411035,0.0,0.0,0.20462850609731703,0.006398004297196832,0.0397977238448896,0.5788288323484438,0.424661240519235,0.6882901202387829,63.377832886612744,0.003703349356706768,0.23471025665010636,-7.285570545596421,25,14,5,5,11,8,1,0,42.0,1,25.48933098955634,10.814052120540481,1.0459554932353918,0.7020405360961863,1.2102218688268023,0.8975402357211041,0.6497920701906825,0.34814890394371145,24.119265758539274,25.48933098955634,10.814052120540481,1.0459554932353918,0.7020405360961863,1.2102218688268023,0.8975402357211041,0.6497920701906825,0.34814890394371145,24.119265758539274,24.95,10.75,0.75,0.6,0.9,0.55,1.0,0.5,21.42938712558605,0.35,30,26.535286482791733,25.7,19,11.516092656636667,11.35
55376d5c205fa844,2025-03-29,blue,Saimon Oliveira,David Martinez,278.0,3.0,33.93909525862954,26.65352471303312,0.21995275879599213,0.18859632976292162,-0.01603217633439542,0.0,-0.011981863009218498,0.0,-0.10689797974984681,0.0,0.3987765987779147,0.3987765987779147,0.00847457627118644,0.005507805915677403,-0.0008901983815194286,0.0,-0.5813001986277657,0.0,-0.8068234524737892,0.0,0.36577370860178593,0.36577370860178593,0.15878992939308967,0.0,-0.27133201549947433,0.0,74.28463181448332,74.28463181448332,0.01570865268900394,0.02846756948418381,-0.011330154360705794,0.0,0.0,0.0,0.08349469680463621,0.0,0.7059162989768806,0.7059162989768806,0.0013941966144999031,0.0006036170108705959,0.8403354628822352,1.0,-0.04241886065411035,0.0,0.0,0.0,0.21995275879599213,0.00847457627118644,0.01570865268900394,0.23074252732595063,0.39590741551473635,0.7059162989768806,56.63187986748808,0.0019554451468300903,0.11074053464274426,7.285570545596421,23,7,1,0,0,0,0,0,0.0,0,27.51467644441412,10.25510923502141,1.1529819271078952,0.7538692990839708,0.6233752781228117,0.47655508216874404,1.0048440250471704,0.23425378327406707,11.672151812746304,27.51467644441412,10.25510923502141,1.1529819271078952,0.7538692990839708,0.6233752781228117,0.47655508216874404,1.0048440250471704,0.23425378327406707,11.672151812746304,26.5,10.05,1.4,1.05,0.8,0.75,1.25,0.3,9.01293318588559,0.05,24,28.667658371522016,27.9,7,11.008978534105381,11.100000000000001
5ba7dd466e30169f,2025-03-29,red,Ronaldo Rodriguez,Kevin Borjas,900.0,3.0,25.895124472097304,27.310622394710364,0.1704452425081325,0.18859632976292162,0.007214865281106786,0.0,-0.06503625009095756,0.0,-0.105619773592037,0.0,0.3987765987779147,0.3987765987779147,0.0015873015873015873,0.005507805915677403,-0.002427935772971359,0.0,0.09527358988784745,0.0,-0.372605643918159,0.0,0.36577370860178593,0.36577370860178593,0.37865832041010494,0.0,0.39386921986802675,0.0,74.28463181448332,74.28463181448332,0.04420589220747214,0.02846756948418381,-0.002649782773942168,0.0,-0.022944181310119827,0.0,0.0014654844609083987,0.0,0.7059162989768806,0.7059162989768806,0.0008644358012266275,0.0006036170108705959,1.3991137274138998,1.0,0.031118712768611344,0.0,0.026627996281736826,0.0,0.1704452425081325,0.0015873015873015873,0.04420589220747214,0.4062144713804477,0.38329130960012964,0.701130721956002,110.14231590724168,0.0006447848752070598,0.07101809941726739,-1.41549792261306,149,63,2,1,0,0,5,1,43.0,1,80.03571695011026,30.269293233752922,4.5741195914268715,3.0651421394932035,2.2391385763650273,1.7183989092676675,1.87407351247663,0.4554939249513868,38.44280015191008,80.03571695011026,30.269293233752922,4.5741195914268715,3.0651421394932035,2.2391385763650273,1.7183989092676675,1.87407351247663,0.4554939249513868,38.44280015191008,79.3,31.0,5.05,3.1,2.05,1.6,1.95,0.65,51.074397533526636,0.65,151,84.60983654153713,84.35,64,33.33443537324612,34.1
5ba7dd466e30169f,2025-03-29,blue,Kevin Borjas,Ronaldo Rodriguez,900.0,3.0,27.310622394710364,25.895124472097304,0.18859632976292162,0.1704452425081325,0.0,0.007214865281106786,0.0,-0.06503625009095756,0.0,-0.105619773592037,0.3987765987779147,0.3987765987779147,0.005507805915677403,0.0015873015873015873,0.0,-0.002427935772971359,0.0,0.09527358988784745,0.0,-0.372605643918159,0.36577370860178593,0.36577370860178593,0.0,0.37865832041010494,0.0,0.39386921986802675,74.28463181448332,74.28463181448332,0.02846756948418381,0.04420589220747214,0.0,-0.002649782773942168,0.0,-0.022944181310119827,0.0,0.0014654844609083987,0.7059162989768806,0.7059162989768806,0.0006036170108705959,0.0008644358012266275,1.0,1.3991137274138998,0.0,0.031118712768611344,0.0,0.026627996281736826,0.18138146448181483,0.007935741688648763,0.031117352258125976,0.4679607006255925,0.4243489741000653,0.7056119748529791,50.86859658936805,0.0037136152406037973,0.18890639556240355,1.41549792261306,135,78,4,3,2,2,0,0,2.0,0,72.43716715749456,29.74588517499813,4.756676444395239,3.275812412119649,2.130402074952493,1.660665838978951,2.9927026288449903,0.9131796099722085,44.02577825171741,72.43716715749456,29.74588517499813,4.756676444395239,3.275812412119649,2.130402074952493,1.660665838978951,2.9927026288449903,0.9131796099722085,44.02577825171741,73.6,28.75,5.3,3.9,2.1,1.75,3.15,1.0,43.46338996264446,0.65,139,77.1938436018898,78.89999999999999,81,33.02169758711778,32.65
