fight_id,red_name,blue_name,winner_name,method,actual_red_win,predicted_red_win,red_rounds,blue_rounds,rounds_scored,round_details
96cc199d78732d11,Martin Buday,Uran Satybaldiev,Martin Buday,Decision - Unanimous,1,1.0,3,0,3,"[{'round': 1, 'red_score_value': 20.42328, 'blue_score_value': 14.0, 'round_winner': 'red', 'red_sig': 17.0, 'blue_sig': 14.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 70.0, 'blue_ctrl': 0.0}, {'round': 2, 'red_score_value': 32.107936, 'blue_score_value': 12.0, 'round_winner': 'red', 'red_sig': 28.0, 'blue_sig': 12.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 84.0, 'blue_ctrl': 0.0}, {'round': 3, 'red_score_value': 20.433408, 'blue_score_value': 10.97808, 'round_winner': 'red', 'red_sig': 13.0, 'blue_sig': 10.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 152.0, 'blue_ctrl': 20.0}]"
a160e94fdb66de17,Pat Sabatini,Joanderson Brito,Pat Sabatini,Decision - Unanimous,1,1.0,3,0,3,"[{'round': 1, 'red_score_value': 32.737711000000004, 'blue_score_value': 1.0, 'round_winner': 'red', 'red_sig': 12.0, 'blue_sig': 1.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 2.0, 'blue_td': 0.0, 'red_sub': 1.0, 'blue_sub': 0.0, 'red_ctrl': 283.0, 'blue_ctrl': 0.0}, {'round': 2, 'red_score_value': 21.421427, 'blue_score_value': 2.0, 'round_winner': 'red', 'red_sig': 6.0, 'blue_sig': 2.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 274.0, 'blue_ctrl': 0.0}, {'round': 3, 'red_score_value': 21.225811, 'blue_score_value': 2.854417, 'round_winner': 'red', 'red_sig': 6.0, 'blue_sig': 0.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 1.0, 'red_ctrl': 270.0, 'blue_ctrl': 0.0}]"
cca4d763b1c6de0a,Vanessa Demopoulos,Talita Alencar,Talita Alencar,Decision - Unanimous,0,0.0,0,3,3,"[{'round': 1, 'red_score_value': 4.097808, 'blue_score_value': 26.835708, 'round_winner': 'blue', 'red_sig': 4.0, 'blue_sig': 9.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 1.0, 'red_ctrl': 2.0, 'blue_ctrl': 265.0}, {'round': 2, 'red_score_value': 6.0, 'blue_score_value': 23.927323, 'round_winner': 'blue', 'red_sig': 6.0, 'blue_sig': 11.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 223.0}, {'round': 3, 'red_score_value': 0.0, 'blue_score_value': 42.247541999999996, 'round_winner': 'blue', 'red_sig': 0.0, 'blue_sig': 25.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 2.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 270.0}]"
d1368ca941c1fefc,Torrez Finney,Robert Valentin,Torrez Finney,Decision - Split,1,1.0,3,0,3,"[{'round': 1, 'red_score_value': 23.508350999999998, 'blue_score_value': 6.0, 'round_winner': 'red', 'red_sig': 0.0, 'blue_sig': 6.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 5.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 274.0, 'blue_ctrl': 0.0}, {'round': 2, 'red_score_value': 18.932387000000002, 'blue_score_value': 3.782464, 'round_winner': 'red', 'red_sig': 4.0, 'blue_sig': 3.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 264.0, 'blue_ctrl': 16.0}, {'round': 3, 'red_score_value': 16.660694, 'blue_score_value': 14.0, 'round_winner': 'red', 'red_sig': 0.0, 'blue_sig': 14.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 2.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 258.0, 'blue_ctrl': 0.0}]"
fd088ce1481315a5,Loma Lookboonmee,Istela Nunes,Loma Lookboonmee,Decision - Unanimous,1,1.0,2,1,3,"[{'round': 1, 'red_score_value': 15.0, 'blue_score_value': 25.374376, 'round_winner': 'blue', 'red_sig': 15.0, 'blue_sig': 22.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 69.0}, {'round': 2, 'red_score_value': 14.662547, 'blue_score_value': 11.596976000000002, 'round_winner': 'red', 'red_sig': 10.0, 'blue_sig': 7.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 54.0, 'blue_ctrl': 94.0}, {'round': 3, 'red_score_value': 21.802342000000003, 'blue_score_value': 8.564928, 'round_winner': 'red', 'red_sig': 7.0, 'blue_sig': 7.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 2.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 220.0, 'blue_ctrl': 32.0}]"
0eccebee160137b1,Yan Xiaonan,Virna Jandiroba,Virna Jandiroba,Decision - Unanimous,0,0.0,0,3,3,"[{'round': 1, 'red_score_value': 6.0, 'blue_score_value': 14.971163, 'round_winner': 'blue', 'red_sig': 6.0, 'blue_sig': 4.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 183.0}, {'round': 2, 'red_score_value': 5.3204080000000005, 'blue_score_value': 20.152181, 'round_winner': 'blue', 'red_sig': 4.0, 'blue_sig': 0.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 2.0, 'red_ctrl': 27.0, 'blue_ctrl': 254.0}, {'round': 3, 'red_score_value': 7.0, 'blue_score_value': 19.798596, 'round_winner': 'blue', 'red_sig': 7.0, 'blue_sig': 7.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 1.0, 'red_ctrl': 0.0, 'blue_ctrl': 162.0}]"
11eb27a1ac74d225,Jim Miller,Chase Hooper,Chase Hooper,Decision - Unanimous,0,0.0,1,2,3,"[{'round': 1, 'red_score_value': 22.572060999999998, 'blue_score_value': 17.743499, 'round_winner': 'red', 'red_sig': 10.0, 'blue_sig': 10.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 1.0, 'red_sub': 2.0, 'blue_sub': 0.0, 'red_ctrl': 99.0, 'blue_ctrl': 117.0}, {'round': 2, 'red_score_value': 1.0, 'blue_score_value': 27.041231, 'round_winner': 'blue', 'red_sig': 1.0, 'blue_sig': 5.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 5.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 244.0}, {'round': 3, 'red_score_value': 2.0, 'blue_score_value': 24.977167, 'round_winner': 'blue', 'red_sig': 2.0, 'blue_sig': 6.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 2.0, 'red_sub': 0.0, 'blue_sub': 1.0, 'red_ctrl': 0.0, 'blue_ctrl': 247.0}]"
d3be5a4e0ec273e2,Yair Rodriguez,Patricio Freire,Yair Rodriguez,Decision - Unanimous,1,1.0,3,0,3,"[{'round': 1, 'red_score_value': 11.0, 'blue_score_value': 5.71164, 'round_winner': 'red', 'red_sig': 11.0, 'blue_sig': 4.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 35.0}, {'round': 2, 'red_score_value': 23.119539, 'blue_score_value': 11.391043, 'round_winner': 'red', 'red_sig': 21.0, 'blue_sig': 8.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 2.0, 'blue_ctrl': 28.0}, {'round': 3, 'red_score_value': 53.019586, 'blue_score_value': 7.854417, 'round_winner': 'red', 'red_sig': 38.0, 'blue_sig': 5.0, 'red_kd': 1.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 1.0, 'red_ctrl': 101.0, 'blue_ctrl': 0.0}]"
e733f148060bef2a,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Decision - Unanimous,1,1.0,4,1,5,"[{'round': 1, 'red_score_value': 31.858162999999998, 'blue_score_value': 8.146712, 'round_winner': 'red', 'red_sig': 27.0, 'blue_sig': 8.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 1.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 58.0, 'blue_ctrl': 3.0}, {'round': 2, 'red_score_value': 24.97808, 'blue_score_value': 26.17809, 'round_winner': 'blue', 'red_sig': 24.0, 'blue_sig': 16.0, 'red_kd': 0.0, 'blue_kd': 1.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 20.0, 'blue_ctrl': 2.0}, {'round': 3, 'red_score_value': 25.0, 'blue_score_value': 9.0, 'round_winner': 'red', 'red_sig': 25.0, 'blue_sig': 9.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 0.0}, {'round': 4, 'red_score_value': 39.0, 'blue_score_value': 16.0, 'round_winner': 'red', 'red_sig': 39.0, 'blue_sig': 16.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 0.0}, {'round': 5, 'red_score_value': 43.0, 'blue_score_value': 14.0, 'round_winner': 'red', 'red_sig': 43.0, 'blue_sig': 14.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 0.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 0.0}]"
fd98843926965cbd,Sumudaerji,Mitch Raposo,Sumudaerji,Decision - Split,1,1.0,2,1,3,"[{'round': 1, 'red_score_value': 11.0, 'blue_score_value': 12.222222, 'round_winner': 'blue', 'red_sig': 11.0, 'blue_sig': 5.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 2.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 65.0}, {'round': 2, 'red_score_value': 14.0, 'blue_score_value': 7.738435, 'round_winner': 'red', 'red_sig': 14.0, 'blue_sig': 2.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 1.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 76.0}, {'round': 3, 'red_score_value': 20.0, 'blue_score_value': 13.786961000000002, 'round_winner': 'red', 'red_sig': 20.0, 'blue_sig': 2.0, 'red_kd': 0.0, 'blue_kd': 0.0, 'red_td': 0.0, 'blue_td': 3.0, 'red_sub': 0.0, 'blue_sub': 0.0, 'red_ctrl': 0.0, 'blue_ctrl': 117.0}]"
