fight_id,path,side,fighter_name,duration,control_rescaled,sim_distance_attempted,sim_distance_landed,pred_distance_attempted,sim_clinch_attempted,sim_clinch_landed,pred_clinch_attempted,sim_ground_attempted,sim_ground_landed,pred_ground_attempted,sim_td_attempted,sim_td_landed,pred_td_attempted,sim_qualified_control_inflicted_seconds,pred_qualified_control_inflicted_seconds
0f20c1d7c44fa5fe,11,red,Raul Rosas Jr.,900.0,0.0,23.0,7.0,73.68939441944812,4.0,4.0,5.596500108325408,102.0,75.0,25.507747067397815,6.0,3.0,21.476448342209146,899.9999951026792,774.87704325443
0f20c1d7c44fa5fe,11,blue,Vince Morales,900.0,0.0,66.0,26.0,77.35390151319076,0.0,0.0,5.60481345534153,0.0,0.0,5.101005243285138,1.0,1.0,1.3651563986486124,3.95949098750657e-14,71.73627110741033
0f20c1d7c44fa5fe,12,red,Raul Rosas Jr.,900.0,1.0,89.0,33.0,73.68939441944812,3.0,0.0,5.596500108325408,27.0,23.0,25.507747067397815,33.0,16.0,21.476448342209146,899.7931147740073,774.87704325443
0f20c1d7c44fa5fe,12,blue,Vince Morales,900.0,1.0,96.0,31.0,77.35390151319076,0.0,0.0,5.60481345534153,2.0,1.0,5.101005243285138,0.0,0.0,1.3651563986486124,0.20688522599258188,71.73627110741033
0f20c1d7c44fa5fe,13,red,Raul Rosas Jr.,900.0,0.0,46.0,18.0,73.68939441944812,3.0,3.0,5.596500108325408,1.0,0.0,25.507747067397815,28.0,14.0,21.476448342209146,900.0,774.87704325443
0f20c1d7c44fa5fe,13,blue,Vince Morales,900.0,0.0,77.0,27.0,77.35390151319076,10.0,7.0,5.60481345534153,0.0,0.0,5.101005243285138,6.0,3.0,1.3651563986486124,0.0,71.73627110741033
0f20c1d7c44fa5fe,14,red,Raul Rosas Jr.,900.0,0.0,54.0,22.0,73.68939441944812,10.0,5.0,5.596500108325408,13.0,8.0,25.507747067397815,13.0,4.0,21.476448342209146,335.2334574403648,774.87704325443
0f20c1d7c44fa5fe,14,blue,Vince Morales,900.0,0.0,50.0,20.0,77.35390151319076,4.0,3.0,5.60481345534153,35.0,25.0,5.101005243285138,2.0,1.0,1.3651563986486124,0.0,71.73627110741033
0f20c1d7c44fa5fe,15,red,Raul Rosas Jr.,900.0,0.0,69.0,34.0,73.68939441944812,0.0,0.0,5.596500108325408,12.0,7.0,25.507747067397815,1.0,0.0,21.476448342209146,899.9999575726222,774.87704325443
0f20c1d7c44fa5fe,15,blue,Vince Morales,900.0,0.0,35.0,15.0,77.35390151319076,3.0,3.0,5.60481345534153,4.0,2.0,5.101005243285138,1.0,1.0,1.3651563986486124,0.0,71.73627110741033
