bucket,bucket_min_prob,bucket_max_prob,fight_count,avg_predicted_confidence,actual_win_rate,calibration_error,accuracy,avg_raw_probability,positive_pick_rate
0.50-0.55,0.5,0.55,359,0.5204318148346,0.5181058495821727,-0.002325965252427342,0.5181058495821727,0.5155934918059613,89.69359331476323
0.55-0.60,0.55,0.6,142,0.585799763110322,0.6126760563380281,0.026876293227706127,0.6126760563380281,0.5849321549627143,99.29577464788733
0.60-0.65,0.6,0.65,497,0.6356078553007882,0.6297786720321932,-0.005829183268595051,0.6297786720321932,0.39997896018402435,16.700201207243463
0.65-0.70,0.65,0.7,87,0.6569423812559281,0.5862068965517241,-0.07073548470420399,0.5862068965517241,0.6569423812559281,100.0
0.70-0.75,0.7,0.75,236,0.7317689191234313,0.7542372881355932,0.02246836901216187,0.7542372881355932,0.5542205694620892,63.983050847457626
0.75-0.80,0.75,0.8,153,0.7806233938028609,0.7712418300653595,-0.00938156373750143,0.7712418300653595,0.5305603502038257,57.51633986928104
0.80-0.85,0.8,0.85,1,0.8193216919898987,1.0,0.18067830801010132,1.0,0.18067830801010132,0.0
0.85-0.90,0.85,0.9,34,0.8745098017594394,0.8235294117647058,-0.05098038999473353,0.8235294117647058,0.4000000068370034,35.294117647058826
0.90-0.95,0.9,0.95,1,0.9173978790640831,1.0,0.0826021209359169,1.0,0.0826021209359169,0.0
0.95-1.00,0.95,1.0,8,0.9979948890171051,0.625,-0.3729948890171051,0.625,0.12700486098289487,12.5
