snapshot_timestamp,event_name,commence_time,fight_id,fighter_id,fighter_name,opponent_id,opponent_name,sportsbook,market_type,american_odds,implied_prob,odds_match_type,odds_match_score
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,efb96bf3e9ada36f_vs_aa72b0f831d0bfe5,efb96bf3e9ada36f,Song Yadong,aa72b0f831d0bfe5,Deiveson Figueiredo,DraftKings,moneyline,-600,0.8571428571428571,reversed_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,8a65fd9ba31fd3f7_vs_a495f599e787614f,8a65fd9ba31fd3f7,Zhang Mingyang,a495f599e787614f,Alonzo Menifield,DraftKings,moneyline,-250,0.7142857142857143,reversed_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,f14cf73e51b29254_vs_17923f676f100e16,f14cf73e51b29254,Sergei Pavlovich,17923f676f100e16,Tallison Teixeira,DraftKings,moneyline,-600,0.8571428571428571,same_order,96.66666666666666
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,d33da8a3d82bdb62_vs_5c84f673b7bb7c15,d33da8a3d82bdb62,Kai Asakura,5c84f673b7bb7c15,Cameron Smotherman,DraftKings,moneyline,-290,0.7435897435897436,reversed_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,ab2b4ff41d6ebe0f_vs_3cf18e01cb6cbde3,ab2b4ff41d6ebe0f,Alex Perez,3cf18e01cb6cbde3,Sumudaerji,DraftKings,moneyline,-142,0.5867768595041323,same_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T10:45:00Z,e6666480a830f764_vs_33a86e839ad202d8,e6666480a830f764,YiSak Lee,33a86e839ad202d8,Luis Felipe Dias,DraftKings,moneyline,140,0.4166666666666667,reversed_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T08:00:00Z,e0664abaa023fd6f_vs_20a0e4cc5227c117,e0664abaa023fd6f,Ding Meng,20a0e4cc5227c117,Jose Henrique,DraftKings,moneyline,-118,0.5412844036697247,reversed_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T10:00:00Z,7d420039bbfe7c1a_vs_8e6654e9f0461b8f,7d420039bbfe7c1a,Aoriqileng,8e6654e9f0461b8f,Cody Haddon,DraftKings,moneyline,280,0.2631578947368421,same_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T09:15:00Z,f0feeb2192937424_vs_2cdb479a0ef0ee1d,f0feeb2192937424,Angela Hill,2cdb479a0ef0ee1d,Xiong Jingnan,DraftKings,moneyline,160,0.38461538461538464,same_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T08:00:00Z,4e30e4250cb08b61_vs_bc7d1ad49fcb2d08,4e30e4250cb08b61,Loma Lookboonmee,bc7d1ad49fcb2d08,Jaqueline Amorim,DraftKings,moneyline,-105,0.5121951219512195,reversed_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,efb96bf3e9ada36f_vs_aa72b0f831d0bfe5,aa72b0f831d0bfe5,Deiveson Figueiredo,efb96bf3e9ada36f,Song Yadong,DraftKings,moneyline,440,0.18518518518518517,reversed_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,8a65fd9ba31fd3f7_vs_a495f599e787614f,a495f599e787614f,Alonzo Menifield,8a65fd9ba31fd3f7,Zhang Mingyang,DraftKings,moneyline,205,0.32786885245901637,reversed_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,f14cf73e51b29254_vs_17923f676f100e16,17923f676f100e16,Tallison Teixeira,f14cf73e51b29254,Sergei Pavlovich,DraftKings,moneyline,440,0.18518518518518517,same_order,96.66666666666666
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,d33da8a3d82bdb62_vs_5c84f673b7bb7c15,5c84f673b7bb7c15,Cameron Smotherman,d33da8a3d82bdb62,Kai Asakura,DraftKings,moneyline,235,0.29850746268656714,reversed_order,100.0
2026-05-26T02:01:24.377624+00:00,UFC Fight Night: Song vs. Figueiredo,2026-05-30T11:00:00Z,ab2b4ff41d6ebe0f_vs_3cf18e01cb6cbde3,3cf18e01cb6cbde3,Sumudaerji,ab2b4ff41d6ebe0f,Alex Perez,DraftKings,moneyline,120,0.45454545454545453,same_order,100.0
