feature,mean_abs_shap
ewm_splm_diff,7.093687e-05
recent_form_finish_loss_rate_diff,5.659909e-05
recent_form_fights_diff,4.3851094e-05
days_since_last_ko_loss_diff,2.4804453e-05
ewm_sub_win_rate_diff,2.222177e-05
max_career_ko_losses,0.0
last_fight_ko_loss_diff,0.0
combined_career_ko_losses,0.0
career_ko_losses_diff,0.0
older_fighter_career_ko_losses,0.0
finish_loss_rate_diff,0.0
recent_form_win_pct_diff,0.0
recent_finish_rate_diff,0.0
fights_diff,0.0
loss_streak_diff,0.0
wins_diff,0.0
