feature,mean_abs_shap
recent_form_win_pct_diff,0.0006782687
recent_ko_losses_3_diff,0.00059416634
recent_form_finish_rate_diff,0.0005324299
losses_diff,0.00051186624
career_ko_losses_diff,0.00041057172
fights_diff,0.0003568778
recent_win_pct_diff,9.877015e-05
last_fight_ko_loss_diff,0.0
recent_finish_rate_diff,0.0
title_fight,0.0
