threshold,accuracy,positive_pick_rate,negative_pick_rate,roc_auc,log_loss,brier_score
0.4,0.697029702970297,100.0,0.0,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.41,0.697029702970297,100.0,0.0,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.42,0.697029702970297,100.0,0.0,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.43,0.697029702970297,100.0,0.0,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.44,0.697029702970297,100.0,0.0,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.45,0.697029702970297,100.0,0.0,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.46,0.697029702970297,99.60396039603961,0.3960396039603964,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.48,0.697029702970297,99.20792079207921,0.7920792079207928,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.47,0.695049504950495,99.4059405940594,0.5940594059405946,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.49,0.693069306930693,98.41584158415841,1.5841584158415856,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.5,0.693069306930693,98.01980198019803,1.980198019801982,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.51,0.689108910891089,97.62376237623762,2.3762376237623783,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.52,0.689108910891089,96.83168316831683,3.168316831683171,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.54,0.6831683168316832,94.65346534653465,5.346534653465351,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.53,0.6811881188118812,95.64356435643563,4.35643564356436,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.55,0.6732673267326733,92.47524752475248,7.524752475247521,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.58,0.6673267326732674,85.54455445544555,14.455445544554458,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.59,0.6653465346534654,84.15841584158416,15.841584158415845,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.56,0.6633663366336634,90.2970297029703,9.702970297029701,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.57,0.6613861386138614,88.91089108910892,11.089108910891088,0.5678475935828877,0.6123313023764244,0.2108761521267264
0.6,0.6554455445544555,80.79207920792079,19.207920792079204,0.5678475935828877,0.6123313023764244,0.2108761521267264
