bucket,bucket_min_prob,bucket_max_prob,fight_count,avg_predicted_confidence,actual_win_rate,calibration_error,accuracy,avg_raw_probability,positive_pick_rate
0.50-0.55,0.5,0.55,38,0.5293865588150526,0.6052631578947368,0.07587659907968425,0.6052631578947368,0.5177794969395587,73.68421052631578
0.55-0.60,0.55,0.6,59,0.5776448007357322,0.576271186440678,-0.0013736142950542263,0.576271186440678,0.5776448007357322,100.0
0.60-0.65,0.6,0.65,108,0.6257411798945179,0.6666666666666666,0.04092548677214869,0.6666666666666666,0.6257411798945179,100.0
0.65-0.70,0.65,0.7,145,0.6763492337588606,0.7172413793103448,0.04089214555148424,0.7172413793103448,0.6763492337588606,100.0
0.70-0.75,0.7,0.75,109,0.723105185622469,0.7614678899082569,0.03836270428578792,0.7614678899082569,0.723105185622469,100.0
0.75-0.80,0.75,0.8,43,0.7680285822513492,0.7209302325581395,-0.047098349693209696,0.7209302325581395,0.7680285822513492,100.0
0.80-0.85,0.8,0.85,3,0.8055616021156311,1.0,0.1944383978843689,1.0,0.8055616021156311,100.0
