fight_id,event_date,year,red_fighter,blue_fighter,division,scheduled_rounds,actual_red_win,actual_method,actual_finish_round,actual_duration_seconds,historical_kd,historical_sub_attempts,red_win_probability,blue_win_probability,average_simulated_finish_time,simulated_nondecision_paths,simulated_finish_time_sum_seconds,simulated_total_kd,simulated_total_exposure_seconds,simulated_total_submission_attempts,simulated_paths_with_submission_attempt,simulated_total_path_count,simulated_standing_seconds,simulated_ground_seconds,kd_per_path,zero_kd_share,multi_kd_share,submission_attempts_per_path,ko_tko_probability,red_ko_tko_probability,blue_ko_tko_probability,sub_probability,red_sub_probability,blue_sub_probability,dec_probability,red_dec_probability,blue_dec_probability,sim_finish_r1_share,sim_finish_r1_count,sim_finish_r2_share,sim_finish_r2_count,sim_finish_r3_share,sim_finish_r3_count,sim_finish_r4_share,sim_finish_r4_count,sim_finish_r5_share,sim_finish_r5_count,red_td_attempts,red_td_completions,red_strike_attempts,red_strikes_landed,blue_td_attempts,blue_td_completions,blue_strike_attempts,blue_strikes_landed,simulated_strike_attempts_per_path,simulated_strikes_landed_per_path,simulated_takedown_attempts_per_path,simulated_takedowns_landed_per_path
b88b170a7fe40544,2020-01-25,2020,Hannah Cifers,Angela Hill,women's strawweight,3,0,KO_TKO,2,566.0,0.0,0.0,0.36,0.64,310.06834563121816,7,2170.478419418527,4,18370.478419418527,5,4,25,17360.07855125552,1010.3998681630085,0.16,0.88,0.04,0.2,0.28,0.0,0.28,0.0,0.0,0.0,0.72,0.36,0.36,0.5714285714285714,4,0.14285714285714285,1,0.2857142857142857,2,0.0,0,0.0,0,1.08,0.4,133.72,44.68,2.08,0.64,112.0,47.16,245.72,91.84,3.16,1.04
ed94cdc0f2b97e15,2020-01-25,2020,Arnold Allen,Nik Lentz,featherweight,3,1,DEC,3,900.0,0.0,0.0,0.56,0.44,319.1104803805909,3,957.3314411417728,2,20757.331441141774,13,10,25,16045.907902129187,4711.423539012585,0.08,0.92,0.0,0.52,0.08,0.0,0.08,0.04,0.0,0.04,0.88,0.56,0.32,0.3333333333333333,1,0.6666666666666666,2,0.0,0,0.0,0,0.0,0,1.6,0.8,98.72,45.52,9.24,2.36,80.92,34.2,179.64,79.72,10.84,3.16
11f7bac5037a184c,2020-02-08,2020,Trevin Giles,James Krause,middleweight,3,1,DEC,3,900.0,0.0,5.0,0.28,0.72,254.4389729761563,9,2289.950756785406,13,16689.95075678541,9,7,25,14768.364473257672,1921.5862835277355,0.52,0.52,0.04,0.36,0.36,0.04,0.32,0.0,0.0,0.0,0.64,0.24,0.4,0.6666666666666666,6,0.2222222222222222,2,0.1111111111111111,1,0.0,0,0.0,0,1.2,0.8,95.48,38.04,2.84,0.52,97.0,40.32,192.48000000000002,78.36,4.04,1.32
326b843cb2b7fd94,2020-02-08,2020,Andre Ewell,Jonathan Martinez,bantamweight,3,1,DEC,3,900.0,0.0,0.0,0.68,0.32,270.6425793051197,7,1894.4980551358376,11,18094.498055135835,15,10,25,14048.384323172986,4046.1137319628497,0.44,0.64,0.08,0.6,0.24,0.2,0.04,0.04,0.04,0.0,0.72,0.44,0.28,0.7142857142857143,5,0.0,0,0.2857142857142857,2,0.0,0,0.0,0,1.36,0.84,93.0,34.68,2.6,1.04,80.48,33.04,173.48000000000002,67.72,3.96,1.88
be822403f364fff3,2020-02-08,2020,Mirsad Bektic,Dan Ige,featherweight,3,0,DEC,3,900.0,0.0,1.0,0.44,0.56,369.8136134384603,12,4437.763361261524,19,16137.763361261523,1,1,25,13926.23471462838,2211.528646633147,0.76,0.36,0.12,0.04,0.48,0.0,0.48,0.0,0.0,0.0,0.52,0.44,0.08,0.5,6,0.25,3,0.25,3,0.0,0,0.0,0,1.56,0.92,94.32,34.44,3.52,0.4,70.64,26.24,164.95999999999998,60.67999999999999,5.08,1.32
cb56e868deaddac4,2020-02-08,2020,Lauren Murphy,Andrea Lee,women's flyweight,3,1,DEC,3,900.0,0.0,1.0,0.2,0.8,,0,0.0,0,22500.0,2,2,25,19405.959957241717,3094.040042758282,0.0,1.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.12,2.0,130.88,43.28,2.16,0.72,147.12,58.36,278.0,101.64,8.280000000000001,2.7199999999999998
cefb47bcc04f540e,2020-02-08,2020,Derrick Lewis,Ilir Latifi,heavyweight,3,1,DEC,3,900.0,0.0,0.0,0.6,0.4,311.83492728889627,12,3742.019127466755,10,15442.019127466756,7,6,25,12568.938479225246,2873.080648241509,0.4,0.68,0.08,0.28,0.48,0.44,0.04,0.0,0.0,0.0,0.52,0.16,0.36,0.5833333333333334,7,0.25,3,0.16666666666666666,2,0.0,0,0.0,0,0.0,0.0,32.16,12.4,4.24,1.96,24.0,10.92,56.16,23.32,4.24,1.96
fae99a4089f8abb0,2020-02-08,2020,Jon Jones,Dominick Reyes,light heavyweight,5,1,DEC,5,1500.0,0.0,0.0,0.72,0.28,491.031853474215,4,1964.12741389686,2,33464.12741389686,13,7,25,28970.970597377047,4493.156816519815,0.08,0.92,0.0,0.52,0.12,0.08,0.04,0.04,0.04,0.0,0.84,0.6,0.24,0.5,2,0.25,1,0.0,0,0.25,1,0.0,0,9.68,2.68,85.44,42.16,1.04,0.08,114.44,40.52,199.88,82.68,10.719999999999999,2.7600000000000002
08426f06239d903c,2020-02-15,2020,John Dodson,Nathaniel Wood,bantamweight,3,1,KO_TKO,3,616.0,1.0,0.0,0.32,0.68,368.231883668046,4,1472.927534672184,1,20372.927534672184,7,6,25,19140.469634780213,1232.457899891969,0.04,0.96,0.0,0.28,0.08,0.08,0.0,0.08,0.0,0.08,0.84,0.24,0.6,0.5,2,0.25,1,0.25,1,0.0,0,0.0,0,2.44,0.64,101.0,40.64,2.24,0.68,115.8,41.72,216.8,82.36,4.68,1.32
801b3f24c670f19a,2020-02-15,2020,Corey Anderson,Jan Blachowicz,light heavyweight,5,0,KO_TKO,1,188.0,1.0,0.0,0.28,0.72,566.0233936428224,16,9056.37429828516,24,22556.374298285155,1,1,25,17596.077862815986,4960.296435469166,0.96,0.44,0.24,0.04,0.64,0.0,0.64,0.0,0.0,0.0,0.36,0.28,0.08,0.375,6,0.1875,3,0.1875,3,0.0625,1,0.1875,3,5.08,2.44,101.84,39.48,0.04,0.0,88.36,36.92,190.2,76.4,5.12,2.44
